Time,CH2O_mol/cm^3
4.97E-06,1.30542E-08
3.99E-05,1.15764E-08
9.22E-05,9.40887E-09
0.000138604,8.17734E-09
0.000200303,7.3399E-09
0.000279329,6.40394E-09
0.000350616,5.71429E-09
0.000452671,5.02463E-09
0.00055468,4.58128E-09
0.000643208,4.23645E-09
0.000747111,3.94089E-09
