Time,NO_ppm
0.232633279,38.63299053
0.252019386,21.55430343
0.297253635,8.452000998
0.355411955,5.589923428
0.432956381,4.429646558
0.529886914,4.97117039
0.613893376,6.085477495
0.730210016,5.483273573
0.849757674,5.449255947
0.943457189,5.991699174
1.056542811,6.528626029
1.15993538,9.344733835
1.273021002,9.881660691
1.363489499,10.994129
1.476575121,12.10016155
1.586429725,13.77621918
1.683360258,17.16327147
1.799676898,20.54480739
1.906300485,26.20552425
