Time,H_ppm
8.78E-14,0.589999999
8.78E-10,0.589994109
9.66E-09,0.589935207
2.47E-08,0.589834584
5.11E-08,0.589657458
9.71E-08,0.589349089
1.77E-07,0.588812259
3.19E-07,0.58786293
6.02E-07,0.58597725
8.85E-07,0.58409762
1.17E-06,0.582224023
1.63E-06,0.579149221
2.10E-06,0.576090674
2.56E-06,0.573048295
3.03E-06,0.570021998
4.02E-06,0.563623356
5.02E-06,0.557296603
6.67E-06,0.546899378
8.33E-06,0.53669633
9.99E-06,0.526683844
1.16E-05,0.516858377
1.33E-05,0.507216457
1.59E-05,0.492434641
1.85E-05,0.478084322
2.24E-05,0.457208941
2.64E-05,0.437246954
3.03E-05,0.418158568
3.42E-05,0.399905706
3.82E-05,0.382451924
4.21E-05,0.365762349
4.60E-05,0.349803626
5.25E-05,0.325020815
5.90E-05,0.302001187
6.54E-05,0.280619647
7.19E-05,0.260759922
7.84E-05,0.242313938
8.49E-05,0.225181266
9.13E-05,0.209268587
9.78E-05,0.194489189
0.000104272,0.180762501
0.000110746,0.168013658
0.000117219,0.156173103
0.000123693,0.145176214
0.000130166,0.134962956
