Time,H_mol/cm^3,Relative_Uncertainty,W
5.36082E-05,4.04932E-13,.05,1e-10
7.83505E-05,7.21905E-13,.05,1e-10
0.000104639,1.1932E-12,.05,.15
0.000145361,1.82378E-12,.05,.15
0.000190722,2.45614E-12,.05,.15
0.000234536,3.01104E-12,.05,.15
0.000274742,3.41082E-12,.05,.15
0.000317526,3.96533E-12,.05,.15
0.000358763,4.3655E-12,.05,.15
0.000386598,4.76053E-12,.05,.15
