Time,CO
0.238489955,0.002253058
0.291850044,0.002253742
0.365972681,0.002273923
0.413403872,0.002274531
0.487492304,0.002237019
0.555686042,0.002257124
0.617893873,0.002180999
0.694969557,0.002181987
0.748329647,0.002182671
0.816500581,0.002164314
0.881718469,0.00216515
0.961758603,0.002166176
1.015118692,0.00216686
1.080336579,0.002167697
1.151483365,0.002168609
