Time,O2
0.2269938650306748, 0.019916666666666666
0.2607361963190184, 0.019666666666666666
0.30674846625766866, 0.019583333333333335
0.3680981595092024, 0.019583333333333335
0.432515337423313, 0.019333333333333334
0.5245398773006136, 0.01916666666666667
0.6257668711656441, 0.019083333333333334
0.7300613496932515, 0.019083333333333334
0.843558282208589, 0.01891666666666667
0.9478527607361962, 0.018583333333333334
1.0613496932515336, 0.018416666666666668
1.1595092024539875, 0.018000000000000002
1.2668711656441716, 0.017916666666666668
1.371165644171779, 0.017416666666666667
1.4785276073619629, 0.01725
1.5889570552147236, 0.017083333333333332
1.6993865030674846, 0.016333333333333335
1.794478527607362, 0.015833333333333335
1.9079754601226995, 0.015333333333333334

