Temperature,CO2_ppm,W
600,11.15241636,1.00E-10
625,11.15241636,1.00E-10
650,22.30483271,1.00E-10
675,11.15241636,1.00E-10
700,11.15241636,1.00E-10
725,44.60966543,1.00E-10
750,1550.185874,0.377964473
775,1661.710037,0.377964473
800,1817.843866,0.377964473
825,1684.01487,0.377964473
850,1672.862454,0.377964473
875,1795.539033,0.377964473
900,1840.148699,0.377964473
