Time,H_ppm
4.36E-13,1
4.36E-09,0.999993087
4.80E-08,0.999923958
1.28E-07,0.999797591
2.71E-07,0.999570385
5.23E-07,0.999171677
9.62E-07,0.998476079
1.74E-06,0.997250713
3.22E-06,0.994910874
6.07E-06,0.990425625
8.92E-06,0.985960594
1.18E-05,0.981515693
1.46E-05,0.977090836
1.75E-05,0.972622253
2.04E-05,0.968174124
2.33E-05,0.963746349
3.04E-05,0.952938703
3.75E-05,0.942252319
4.46E-05,0.931685839
5.18E-05,0.92123793
5.89E-05,0.910907273
6.60E-05,0.900692564
7.31E-05,0.890592512
9.28E-05,0.863229342
0.000104829,0.846933154
0.000116856,0.830945039
0.000128883,0.815259228
0.00014091,0.799870051
0.000152937,0.784771938
0.000171446,0.76209188
0.000189955,0.740068815
0.000208465,0.718683821
0.000245619,0.677609626
0.000270157,0.651782122
0.000294696,0.626942669
0.000319234,0.603053654
0.000343773,0.58007888
0.000368311,0.557983523
0.000392849,0.536734072
0.000417388,0.516298285
0.00045861,0.483714453
0.000499832,0.453200023
0.000530156,0.431997406
0.000560481,0.411794385
0.000590805,0.392543957
0.000621129,0.374201332
0.000651453,0.356723838
0.000681777,0.340070797
0.000712101,0.324203422
0.000742426,0.309084738
0.00077275,0.294679501
0.000819527,0.273780189
0.000866304,0.254383026
0.000913081,0.236380263
0.000959859,0.219671843
