Time,H_mol/cm^3,Relative_Uncertainty,W
1.20453E-05,2.47593E-13,.05,1e-10
2.73881E-05,3.93536E-13,.05,1e-10
4.27504E-05,6.70327E-13,.05,1e-10
5.64651E-05,1.00521E-12,.05,1e-10
8.67975E-05,1.70416E-12,.05,1e-10
0.000130439,2.79614E-12,.05,.18
0.000154127,3.36401E-12,.05,.18
0.000209777,4.45642E-12,.05,.18
0.000234242,4.68993E-12,.05,.18
0.000256681,5.21413E-12,.05,.18
0.000285743,5.72404E-12,.05,.18
0.000317712,6.2922E-12,.05,.18
0.000337588,6.29292E-12,.05,.18
0.000352941,6.51156E-12,.05,.18
0.000375761,6.8177E-12,.05,.18
0.00038821,6.99261E-12,.05,.18
