Time,C2H6_ppm
0.290363483,1.507936508
0.343735325,1.904761905
0.423851789,2.698412698
0.483234714,3.412698413
0.560181272,3.492063492
0.628369494,3.968253968
0.678665352,3.968253968
0.746712689,3.968253968
0.820724148,4.126984127
0.882854325,4.126984127
0.942025923,4.126984127
1.024866159,4.126984127
1.092890016,4.047619048
1.137198272,3.80952381
