Time,CH3_ppm
1.7457713158143274e-14,342.1052631545166
1.7459458929459088e-10,342.10522937272845
1.920365905108918e-09,342.1048915552917
7.24111528739027e-09,342.10386196183515
1.8487487826997073e-08,342.1016857487902
3.943087358028306e-08,342.0976332026589
7.67023973948546e-08,342.0904213980804
1.4202452572093118e-07,342.07778271154007
2.5656679696055283e-07,342.05562304413195
4.6431560824314337e-07,342.0154387033478
1.006938256134866e-06,341.9105250528252
1.5495609040265886e-06,341.80567574173796
2.092183551918311e-06,341.70089071466026
2.6348061998100336e-06,341.596169913738
3.177428847701756e-06,341.4915132803557
3.806838558311163e-06,341.3701981802168
4.43624826892057e-06,341.2489692529054
5.0656579795299764e-06,341.1278264018135
6.061627587571013e-06,340.93630719438613
7.057597195612049e-06,340.74500291517796
8.053566803653086e-06,340.55391320169343
9.638793707951581e-06,340.2502084671705
1.2038489690515555e-05,339.791493430176
1.4438185673079528e-05,339.3340135812009
1.68378816556435e-05,338.87776393646175
2.1988665443472806e-05,337.90258628094426
2.7139449231302113e-05,336.9330050257012
3.229023301913142e-05,335.96897207793774
3.7441016806960726e-05,335.01043993481113
4.259180059479003e-05,334.05736166843946
5.0379032651369835e-05,332.6266993650333
5.8166264707949636e-05,331.2082389539699
6.99406430350242e-05,329.0863392818628
8.171502136209878e-05,326.99145455012354
9.348939968917335e-05,324.9230721996741
0.00010526377801624791,322.88069254053335
0.00011703815634332248,320.86382826731324
0.00012881253467039705,318.87200413987813
0.00014058691299747162,316.90475668839326
0.00015944959412719952,313.8033011978875
0.0001783122752569274,310.7619634325542
0.0001971749563866553,307.7790122822502
0.0002160376375163832,304.85278241391467
0.00024515553173028767,300.4432913411819
0.00027427342594419214,296.1595424595506
0.0003033913201580966,291.9962326173384
0.0003325092143720011,287.9483527096766
0.00036162710858590557,284.01116783400886
0.00039074500279981004,280.18019870209145
0.0004198628970137145,276.4512044259041
0.000448980791227619,272.8201668204641
0.00047809868544152346,269.28327605665584
0.0005072165796554279,265.83691738707904
0.0005363344738693324,262.4776588000535
0.0005654523680832369,259.2022395803432
0.0005945702622971414,256.0075597483944
0.0006236881565110458,252.8906702930829
0.0006528060507249503,249.84876410151514
0.0006819239449388548,246.87916752116485
0.0007110418391527593,243.97933251486148
0.0007401597333666637,241.1468293689452
0.0007692776275805682,238.37933990714507
0.0007983955217944727,235.6746511644493
0.0008275134160083772,233.0306494860823
0.0008566313102222816,230.4453150137775
0.0008857492044361861,227.91671653967464
0.0009148670986500906,225.44300669831773
0.000943984992863995,223.02241746679633
0.0009731028870778995,220.65325594943963
0.0010022207812918039,218.33390042825573
