Time,H_mol/cm^3
6.57469E-05,1.80706E-12
0.000149834,3.5943E-12
0.000215592,6.43766E-12
0.000354545,8.59131E-12
0.000434985,1.00242E-11
0.000570314,1.11165E-11
0.000683692,1.22037E-11
0.000815411,1.18813E-11
0.00099836,1.12174E-11
0.001115455,1.0538E-11
0.001265478,9.86643E-12
0.001408195,8.83961E-12
0.00154723,8.51889E-12
