Time,H_mol/cm^3
1.37099E-05,1.24798E-13
1.80644E-05,1.99107E-13
2.74454E-05,2.85274E-13
3.68264E-05,3.71441E-13
4.90855E-05,4.72455E-13
6.20635E-05,5.76437E-13
7.78961E-05,6.62556E-13
9.4437E-05,7.36775E-13
0.000115275,8.05014E-13
0.000131082,8.55449E-13
0.000151906,9.05847E-13
0.000181325,9.44286E-13
0.000200701,9.73879E-13
0.000220783,9.88598E-13
0.000250191,1.01217E-12
0.000283893,1.02679E-12
0.000318306,1.03248E-12
0.000349851,1.03819E-12
0.00037494,1.038E-12
