Time,OH_ppm
5.57547E-06,12.61854168
6.93432E-06,12.29881552
8.26279E-06,11.75530492
9.74286E-06,11.16414387
1.39806E-05,10.17131763
1.5719E-05,9.942203883
1.75621E-05,9.463376749
1.94471E-05,9.010528046
2.14577E-05,8.553902744
2.34684E-05,8.130923516
2.5479E-05,7.707944289
2.76154E-05,7.308196875
3.0003E-05,6.87111834
3.2642E-05,6.417376987
3.5281E-05,6.017469353
3.792E-05,5.620358277
4.06846E-05,5.230588162
4.34493E-05,4.875775009
4.62139E-05,4.554170968
4.89786E-05,4.253541104
5.17432E-05,3.963398328
5.45079E-05,3.701221121
5.72726E-05,3.449531002
6.00372E-05,3.232797844
6.28019E-05,3.009073294
6.55665E-05,2.809818616
6.83312E-05,2.626294571
7.10958E-05,2.460249007
7.38605E-05,2.29595129
7.66251E-05,2.147384206
7.93898E-05,2.00930421
8.21544E-05,1.890450543
8.49191E-05,1.76810118
8.76837E-05,1.640508272
9.04484E-05,1.539133086
9.3213E-05,1.436010051
9.59777E-05,1.341626256
9.87424E-05,1.261225246
0.000101507,1.180824236
0.000104272,1.09692753
0.000107036,1.023517912
0.000109801,0.965838926
0.000112566,0.906412092
0.00011533,0.855724499
0.000118095,0.791054121
0.00012086,0.743862224
0.000123624,0.698418175
0.000126389,0.661713366
0.000129154,0.621512861
0.000131918,0.572573115
0.000134683,0.549851091
0.000137448,0.525381218
0.000140212,0.481685017
0.000142977,0.444980208
0.000145741,0.424006031
0.000148506,0.390796918
0.000150014,0.38030983
