Temperature,O2_ppm,W
600,932.4324324,0.377964473
625,939.1891892,0.377964473
650,939.1891892,0.377964473
675,925.6756757,0.377964473
700,932.4324324,0.377964473
725,905.4054054,0.377964473
750,777.027027,0.377964473
775,100,1.00E-5
800,100,1.00E-5
825,100,1.00E-5
850,100,1.00E-5
875,100,1.00E-5
900,100,1.00E-5
