Time,CO_mol/cm^3
2.08333E-05,1.70E-08
3.77604E-05,2.52E-08
8.07292E-05,3.43E-08
0.000151042,4.10E-08
0.000251302,4.25E-08
0.000364583,4.41E-08
0.00044401,4.45E-08
0.000554688,4.50E-08
