Time,H2O,W
0.3674698795180724, 0.0003835616438356178,0.267
0.4156626506024097, 0.0005114155251141565,0.267
0.4698795180722892, 0.0005753424657534267,0.267
0.5421686746987953, 0.000831050228310504,0.267
0.6265060240963856, 0.00121461187214612,0.267
0.7590361445783134, 0.00121461187214612,0.267
0.891566265060241, 0.0014703196347031974,0.267
1.0120481927710843, 0.0017260273972602748,0.267
1.1686746987951806, 0.0022374429223744313,0.267
1.2771084337349399, 0.0022374429223744313,0.267
1.4518072289156627, 0.0028767123287671247,0.267
1.5481927710843373, 0.0034520547945205496,0.267
1.6987951807228916, 0.003963470319634704,0.267
1.86144578313253, 0.003707762557077627,1e-10
1.9879518072289157, 0.004091324200913243,1e-10
2.120481927710843, 0.0046027397260273994,1e-10
2.234939759036145, 0.004666666666666668,1e-10
2.4156626506024095, 0.004794520547945207,1e-10
2.5120481927710845, 0.005178082191780823,1e-10
