Time,H_mol/cm^3,Relative_Uncertainty,W
0.000158763,9.06541E-13,.05,.15
0.000180412,1.14546E-12,.05,.15
0.000215979,1.08226E-12,.05,.15
0.000243299,1.0159E-12,.05,.15
0.000262887,1.25402E-12,.05,.15
0.000301031,1.49928E-12,.05,.15
0.000344845,1.82358E-12,.05,.15
0.00037732,1.91293E-12,.05,.15
