Time,CO_mol/cm^3
2.02442E-05,5.86E-09
4.54545E-05,1.09E-08
7.68109E-05,1.35E-08
9.93576E-05,1.46E-08
0.000140691,1.66E-08
0.000194531,1.87E-08
