Time,CO_ppm,Relative_Uncertainty,W
7.72E-05,46,0.05,0.028583098
7.76E-05,46,0.05,0.028583098
7.80E-05,40,0.05,0.028583098
7.84E-05,44,0.05,0.028583098
7.88E-05,44,0.05,0.028583098
7.92E-05,44,0.05,0.028583098
7.96E-05,40,0.05,0.028583098
8.00E-05,42,0.05,0.028583098
8.04E-05,48,0.05,0.028583098
8.08E-05,40,0.05,0.028583098
8.12E-05,39,0.05,0.028583098
8.16E-05,44,0.05,0.028583098
8.20E-05,39,0.05,0.028583098
8.24E-05,44,0.05,0.028583098
8.28E-05,46,0.05,0.028583098
8.32E-05,50,0.05,0.028583098
8.36E-05,46,0.05,0.028583098
8.40E-05,48,0.05,0.028583098
8.44E-05,48,0.05,0.028583098
8.48E-05,46,0.05,0.028583098
8.52E-05,42,0.05,0.028583098
8.56E-05,53,0.05,0.028583098
8.60E-05,40,0.05,0.028583098
8.64E-05,46,0.05,0.028583098
8.68E-05,46,0.05,0.028583098
8.72E-05,51,0.05,0.028583098
8.76E-05,51,0.05,0.028583098
8.80E-05,46,0.05,0.028583098
8.84E-05,55,0.05,0.028583098
8.88E-05,55,0.05,0.028583098
8.92E-05,57,0.05,0.028583098
8.96E-05,57,0.05,0.028583098
9.00E-05,53,0.05,0.028583098
9.04E-05,61,0.05,0.028583098
9.08E-05,57,0.05,0.028583098
9.12E-05,59,0.05,0.028583098
9.16E-05,51,0.05,0.028583098
9.20E-05,62,0.05,0.028583098
9.24E-05,59,0.05,0.028583098
9.28E-05,61,0.05,0.028583098
9.32E-05,64,0.05,0.028583098
9.36E-05,62,0.05,0.028583098
9.40E-05,70,0.05,0.028583098
9.44E-05,64,0.05,0.028583098
9.48E-05,64,0.05,0.028583098
9.52E-05,66,0.05,0.028583098
9.56E-05,61,0.05,0.028583098
9.60E-05,57,0.05,0.028583098
9.64E-05,66,0.05,0.028583098
9.68E-05,66,0.05,0.028583098
9.72E-05,70,0.05,0.028583098
9.76E-05,62,0.05,0.028583098
9.80E-05,70,0.05,0.028583098
9.84E-05,64,0.05,0.028583098
9.88E-05,59,0.05,0.028583098
9.92E-05,64,0.05,0.028583098
9.96E-05,62,0.05,0.028583098
0.0001,61,0.05,0.028583098
0.0001004,64,0.05,0.028583098
0.0001008,66,0.05,0.028583098
0.0001012,61,0.05,0.028583098
0.0001016,59,0.05,0.028583098
0.000102,57,0.05,0.028583098
0.0001024,70,0.05,0.028583098
0.0001028,68,0.05,0.028583098
0.0001032,59,0.05,0.028583098
0.0001036,62,0.05,0.028583098
0.000104,64,0.05,0.028583098
0.0001044,64,0.05,0.028583098
0.0001048,70,0.05,0.028583098
0.0001052,64,0.05,0.028583098
0.0001056,64,0.05,0.028583098
0.000106,70,0.05,0.028583098
0.0001064,77,0.05,0.028583098
0.0001068,68,0.05,0.028583098
0.0001072,70,0.05,0.028583098
0.0001076,74,0.05,0.028583098
0.000108,75,0.05,0.028583098
0.0001084,68,0.05,0.028583098
0.0001088,72,0.05,0.028583098
0.0001092,70,0.05,0.028583098
0.0001096,77,0.05,0.028583098
0.00011,77,0.05,0.028583098
0.0001104,75,0.05,0.028583098
0.0001108,74,0.05,0.028583098
0.0001112,77,0.05,0.028583098
0.0001116,79,0.05,0.028583098
0.000112,75,0.05,0.028583098
0.0001124,87,0.05,0.028583098
0.0001128,81,0.05,0.028583098
0.0001132,77,0.05,0.028583098
0.0001136,88,0.05,0.028583098
0.000114,75,0.05,0.028583098
0.0001144,87,0.05,0.028583098
0.0001148,81,0.05,0.028583098
0.0001152,83,0.05,0.028583098
0.0001156,85,0.05,0.028583098
0.000116,87,0.05,0.028583098
0.0001164,81,0.05,0.028583098
0.0001168,90,0.05,0.028583098
0.0001172,85,0.05,0.028583098
0.0001176,90,0.05,0.028583098
0.000118,92,0.05,0.028583098
0.0001184,92,0.05,0.028583098
0.0001188,88,0.05,0.028583098
0.0001192,92,0.05,0.028583098
0.0001196,87,0.05,0.028583098
0.00012,92,0.05,0.028583098
0.0001204,101,0.05,0.028583098
0.0001208,92,0.05,0.028583098
0.0001212,101,0.05,0.028583098
0.0001216,96,0.05,0.028583098
0.000122,90,0.05,0.028583098
0.0001224,90,0.05,0.028583098
0.0001228,94,0.05,0.028583098
0.0001232,98,0.05,0.028583098
0.0001236,101,0.05,0.028583098
0.000124,88,0.05,0.028583098
0.0001244,101,0.05,0.028583098
0.0001248,85,0.05,0.028583098
0.0001252,90,0.05,0.028583098
0.0001256,94,0.05,0.028583098
0.000126,96,0.05,0.028583098
0.0001264,101,0.05,0.028583098
0.0001268,101,0.05,0.028583098
0.0001272,98,0.05,0.028583098
0.0001276,96,0.05,0.028583098
0.000128,99,0.05,0.028583098
0.0001284,105,0.05,0.028583098
0.0001288,103,0.05,0.028583098
0.0001292,101,0.05,0.028583098
0.0001296,99,0.05,0.028583098
0.00013,98,0.05,0.028583098
0.0001304,101,0.05,0.028583098
0.0001308,101,0.05,0.028583098
0.0001312,101,0.05,0.028583098
0.0001316,101,0.05,0.028583098
0.000132,105,0.05,0.028583098
0.0001324,107,0.05,0.028583098
0.0001328,105,0.05,0.028583098
0.0001332,105,0.05,0.028583098
0.0001336,112,0.05,0.028583098
0.000134,105,0.05,0.028583098
0.0001344,107,0.05,0.028583098
0.0001348,111,0.05,0.028583098
0.0001352,109,0.05,0.028583098
0.0001356,114,0.05,0.028583098
0.000136,116,0.05,0.028583098
0.0001364,111,0.05,0.028583098
0.0001368,112,0.05,0.028583098
0.0001372,112,0.05,0.028583098
0.0001376,118,0.05,0.028583098
0.000138,122,0.05,0.028583098
0.0001384,116,0.05,0.028583098
0.0001388,125,0.05,0.028583098
0.0001392,124,0.05,0.028583098
0.0001396,124,0.05,0.028583098
0.00014,122,0.05,0.028583098
0.0001404,120,0.05,0.028583098
0.0001408,122,0.05,0.028583098
0.0001412,129,0.05,0.028583098
0.0001416,127,0.05,0.028583098
0.000142,129,0.05,0.028583098
0.0001424,129,0.05,0.028583098
0.0001428,125,0.05,0.028583098
0.0001432,129,0.05,0.028583098
0.0001436,122,0.05,0.028583098
0.000144,137,0.05,0.028583098
0.0001444,125,0.05,0.028583098
0.0001448,122,0.05,0.028583098
0.0001452,124,0.05,0.028583098
0.0001456,120,0.05,0.028583098
0.000146,127,0.05,0.028583098
0.0001464,124,0.05,0.028583098
0.0001468,124,0.05,0.028583098
0.0001472,131,0.05,0.028583098
0.0001476,127,0.05,0.028583098
0.000148,124,0.05,0.028583098
0.0001484,129,0.05,0.028583098
0.0001488,125,0.05,0.028583098
0.0001492,131,0.05,0.028583098
0.0001496,133,0.05,0.028583098
0.00015,124,0.05,0.028583098
0.0001504,133,0.05,0.028583098
0.0001508,131,0.05,0.028583098
0.0001512,131,0.05,0.028583098
0.0001516,135,0.05,0.028583098
0.000152,137,0.05,0.028583098
0.0001524,133,0.05,0.028583098
0.0001528,131,0.05,0.028583098
0.0001532,137,0.05,0.028583098
0.0001536,140,0.05,0.028583098
0.000154,144,0.05,0.028583098
0.0001544,140,0.05,0.028583098
