Time,CO_ppm,Relative_Uncertainty,W
6.00E-06,4,0.05,0.026153289
6.40E-06,2,0.05,0.026153289
6.80E-06,7,0.05,0.026153289
7.60E-06,4,0.05,0.026153289
8.40E-06,2,0.05,0.026153289
8.80E-06,4,0.05,0.026153289
9.20E-06,2,0.05,0.026153289
1.00E-05,11,0.05,0.026153289
1.12E-05,9,0.05,0.026153289
1.16E-05,4,0.05,0.026153289
1.20E-05,7,0.05,0.026153289
1.24E-05,7,0.05,0.026153289
1.28E-05,9,0.05,0.026153289
1.36E-05,7,0.05,0.026153289
1.40E-05,2,0.05,0.026153289
1.48E-05,2,0.05,0.026153289
1.60E-05,2,0.05,0.026153289
1.72E-05,9,0.05,0.026153289
1.80E-05,2,0.05,0.026153289
1.84E-05,9,0.05,0.026153289
2.04E-05,11,0.05,0.026153289
2.12E-05,4,0.05,0.026153289
2.16E-05,2,0.05,0.026153289
2.24E-05,4,0.05,0.026153289
2.32E-05,2,0.05,0.026153289
2.36E-05,7,0.05,0.026153289
2.40E-05,9,0.05,0.026153289
2.44E-05,4,0.05,0.026153289
2.48E-05,11,0.05,0.026153289
2.52E-05,2,0.05,0.026153289
2.56E-05,4,0.05,0.026153289
2.64E-05,4,0.05,0.026153289
2.68E-05,11,0.05,0.026153289
2.72E-05,2,0.05,0.026153289
2.76E-05,11,0.05,0.026153289
2.88E-05,2,0.05,0.026153289
2.92E-05,7,0.05,0.026153289
2.96E-05,9,0.05,0.026153289
3.00E-05,9,0.05,0.026153289
3.04E-05,17,0.05,0.026153289
3.12E-05,2,0.05,0.026153289
3.16E-05,19,0.05,0.026153289
3.20E-05,11,0.05,0.026153289
3.24E-05,13,0.05,0.026153289
3.28E-05,11,0.05,0.026153289
3.32E-05,13,0.05,0.026153289
3.36E-05,11,0.05,0.026153289
3.40E-05,17,0.05,0.026153289
3.44E-05,7,0.05,0.026153289
3.48E-05,13,0.05,0.026153289
3.52E-05,15,0.05,0.026153289
3.56E-05,13,0.05,0.026153289
3.60E-05,11,0.05,0.026153289
3.64E-05,11,0.05,0.026153289
3.68E-05,15,0.05,0.026153289
3.72E-05,17,0.05,0.026153289
3.76E-05,17,0.05,0.026153289
3.80E-05,17,0.05,0.026153289
3.84E-05,19,0.05,0.026153289
3.88E-05,19,0.05,0.026153289
3.92E-05,13,0.05,0.026153289
3.96E-05,11,0.05,0.026153289
4.00E-05,7,0.05,0.026153289
4.04E-05,11,0.05,0.026153289
4.08E-05,13,0.05,0.026153289
4.12E-05,13,0.05,0.026153289
4.16E-05,15,0.05,0.026153289
4.20E-05,17,0.05,0.026153289
4.24E-05,15,0.05,0.026153289
4.28E-05,17,0.05,0.026153289
4.32E-05,17,0.05,0.026153289
4.36E-05,15,0.05,0.026153289
4.40E-05,13,0.05,0.026153289
4.44E-05,11,0.05,0.026153289
4.48E-05,21,0.05,0.026153289
4.52E-05,21,0.05,0.026153289
4.56E-05,15,0.05,0.026153289
4.60E-05,23,0.05,0.026153289
4.64E-05,15,0.05,0.026153289
4.68E-05,15,0.05,0.026153289
4.72E-05,21,0.05,0.026153289
4.76E-05,13,0.05,0.026153289
4.80E-05,15,0.05,0.026153289
4.84E-05,17,0.05,0.026153289
4.88E-05,15,0.05,0.026153289
4.92E-05,13,0.05,0.026153289
4.96E-05,17,0.05,0.026153289
5.00E-05,15,0.05,0.026153289
5.04E-05,15,0.05,0.026153289
5.08E-05,21,0.05,0.026153289
5.12E-05,19,0.05,0.026153289
5.16E-05,19,0.05,0.026153289
5.20E-05,19,0.05,0.026153289
5.24E-05,21,0.05,0.026153289
5.28E-05,21,0.05,0.026153289
5.32E-05,32,0.05,0.026153289
5.36E-05,30,0.05,0.026153289
5.40E-05,30,0.05,0.026153289
5.44E-05,36,0.05,0.026153289
5.48E-05,21,0.05,0.026153289
5.52E-05,23,0.05,0.026153289
5.56E-05,26,0.05,0.026153289
5.60E-05,15,0.05,0.026153289
5.64E-05,34,0.05,0.026153289
5.68E-05,21,0.05,0.026153289
5.72E-05,21,0.05,0.026153289
5.76E-05,17,0.05,0.026153289
5.80E-05,21,0.05,0.026153289
5.84E-05,21,0.05,0.026153289
5.88E-05,23,0.05,0.026153289
5.92E-05,28,0.05,0.026153289
5.96E-05,30,0.05,0.026153289
6.00E-05,21,0.05,0.026153289
6.04E-05,30,0.05,0.026153289
6.08E-05,23,0.05,0.026153289
6.12E-05,34,0.05,0.026153289
6.16E-05,30,0.05,0.026153289
6.20E-05,28,0.05,0.026153289
6.24E-05,34,0.05,0.026153289
6.28E-05,34,0.05,0.026153289
6.32E-05,30,0.05,0.026153289
6.36E-05,38,0.05,0.026153289
6.40E-05,36,0.05,0.026153289
6.44E-05,34,0.05,0.026153289
6.48E-05,36,0.05,0.026153289
6.52E-05,28,0.05,0.026153289
6.56E-05,30,0.05,0.026153289
6.60E-05,26,0.05,0.026153289
6.64E-05,26,0.05,0.026153289
6.68E-05,34,0.05,0.026153289
6.72E-05,30,0.05,0.026153289
6.76E-05,28,0.05,0.026153289
6.80E-05,28,0.05,0.026153289
6.84E-05,30,0.05,0.026153289
6.88E-05,45,0.05,0.026153289
6.92E-05,34,0.05,0.026153289
6.96E-05,36,0.05,0.026153289
7.00E-05,43,0.05,0.026153289
7.04E-05,36,0.05,0.026153289
7.08E-05,34,0.05,0.026153289
7.12E-05,32,0.05,0.026153289
7.16E-05,34,0.05,0.026153289
7.20E-05,38,0.05,0.026153289
7.24E-05,40,0.05,0.026153289
7.28E-05,30,0.05,0.026153289
7.32E-05,32,0.05,0.026153289
7.36E-05,36,0.05,0.026153289
7.40E-05,34,0.05,0.026153289
7.44E-05,38,0.05,0.026153289
7.48E-05,49,0.05,0.026153289
7.52E-05,36,0.05,0.026153289
7.56E-05,38,0.05,0.026153289
7.60E-05,40,0.05,0.026153289
7.64E-05,43,0.05,0.026153289
7.68E-05,49,0.05,0.026153289
7.72E-05,51,0.05,0.026153289
7.76E-05,38,0.05,0.026153289
7.80E-05,45,0.05,0.026153289
7.84E-05,51,0.05,0.026153289
7.88E-05,51,0.05,0.026153289
7.92E-05,51,0.05,0.026153289
7.96E-05,45,0.05,0.026153289
8.00E-05,57,0.05,0.026153289
8.04E-05,45,0.05,0.026153289
8.08E-05,45,0.05,0.026153289
8.12E-05,49,0.05,0.026153289
8.16E-05,43,0.05,0.026153289
8.20E-05,49,0.05,0.026153289
8.24E-05,55,0.05,0.026153289
8.28E-05,55,0.05,0.026153289
8.32E-05,57,0.05,0.026153289
8.36E-05,53,0.05,0.026153289
8.40E-05,55,0.05,0.026153289
8.44E-05,51,0.05,0.026153289
8.48E-05,53,0.05,0.026153289
8.52E-05,55,0.05,0.026153289
8.56E-05,57,0.05,0.026153289
8.60E-05,53,0.05,0.026153289
8.64E-05,59,0.05,0.026153289
8.68E-05,55,0.05,0.026153289
8.72E-05,55,0.05,0.026153289
8.76E-05,55,0.05,0.026153289
8.80E-05,51,0.05,0.026153289
8.84E-05,53,0.05,0.026153289
8.88E-05,51,0.05,0.026153289
8.92E-05,64,0.05,0.026153289
8.96E-05,59,0.05,0.026153289
9.00E-05,55,0.05,0.026153289
9.04E-05,62,0.05,0.026153289
9.08E-05,57,0.05,0.026153289
9.12E-05,51,0.05,0.026153289
9.16E-05,53,0.05,0.026153289
9.20E-05,66,0.05,0.026153289
9.24E-05,53,0.05,0.026153289
9.28E-05,53,0.05,0.026153289
9.32E-05,62,0.05,0.026153289
9.36E-05,59,0.05,0.026153289
9.40E-05,55,0.05,0.026153289
9.44E-05,59,0.05,0.026153289
9.48E-05,66,0.05,0.026153289
9.52E-05,68,0.05,0.026153289
9.56E-05,68,0.05,0.026153289
9.60E-05,64,0.05,0.026153289
9.64E-05,64,0.05,0.026153289
9.68E-05,66,0.05,0.026153289
9.72E-05,70,0.05,0.026153289
9.76E-05,74,0.05,0.026153289
9.80E-05,66,0.05,0.026153289
9.84E-05,79,0.05,0.026153289
9.88E-05,74,0.05,0.026153289
9.92E-05,66,0.05,0.026153289
9.96E-05,68,0.05,0.026153289
0.0001,79,0.05,0.026153289
0.0001004,72,0.05,0.026153289
0.0001008,74,0.05,0.026153289
0.0001012,66,0.05,0.026153289
0.0001016,72,0.05,0.026153289
0.000102,77,0.05,0.026153289
0.0001024,77,0.05,0.026153289
0.0001028,72,0.05,0.026153289
0.0001032,74,0.05,0.026153289
0.0001036,77,0.05,0.026153289
0.000104,70,0.05,0.026153289
0.0001044,72,0.05,0.026153289
0.0001048,83,0.05,0.026153289
0.0001052,77,0.05,0.026153289
0.0001056,72,0.05,0.026153289
0.000106,81,0.05,0.026153289
0.0001064,74,0.05,0.026153289
0.0001068,81,0.05,0.026153289
0.0001072,79,0.05,0.026153289
0.0001076,89,0.05,0.026153289
0.000108,87,0.05,0.026153289
0.0001084,85,0.05,0.026153289
0.0001088,85,0.05,0.026153289
0.0001092,81,0.05,0.026153289
0.0001096,79,0.05,0.026153289
0.00011,85,0.05,0.026153289
0.0001104,81,0.05,0.026153289
0.0001108,94,0.05,0.026153289
0.0001112,83,0.05,0.026153289
0.0001116,87,0.05,0.026153289
0.000112,89,0.05,0.026153289
0.0001124,85,0.05,0.026153289
0.0001128,87,0.05,0.026153289
0.0001132,87,0.05,0.026153289
0.0001136,91,0.05,0.026153289
0.000114,98,0.05,0.026153289
0.0001144,96,0.05,0.026153289
0.0001148,94,0.05,0.026153289
0.0001152,102,0.05,0.026153289
0.0001156,100,0.05,0.026153289
0.000116,96,0.05,0.026153289
0.0001164,98,0.05,0.026153289
0.0001168,89,0.05,0.026153289
0.0001172,91,0.05,0.026153289
0.0001176,91,0.05,0.026153289
0.000118,98,0.05,0.026153289
0.0001184,104,0.05,0.026153289
0.0001188,98,0.05,0.026153289
0.0001192,96,0.05,0.026153289
0.0001196,98,0.05,0.026153289
0.00012,94,0.05,0.026153289
0.0001204,98,0.05,0.026153289
0.0001208,104,0.05,0.026153289
0.0001212,104,0.05,0.026153289
0.0001216,100,0.05,0.026153289
0.000122,104,0.05,0.026153289
0.0001224,104,0.05,0.026153289
