Time,CO_mol/cm^3
1.65722E-05,7.73E-09
2.54157E-05,9.98E-09
4.93137E-05,1.35E-08
8.45266E-05,1.86E-08
0.000138417,2.20E-08
0.000199822,2.57E-08
0.000252384,2.72E-08
