Time,OH_ppm,W
4.30E-06,0.588522266,1.00E-09
5.86E-06,40.22747628,0.057448499
6.79E-06,40.66405446,0.057448499
8.68E-06,41.25455749,0.057448499
1.34E-05,40.70741482,0.057448499
1.54E-05,39.83119368,0.057448499
1.98E-05,39.48520336,0.057448499
2.10E-05,38.4119115,0.057448499
2.34E-05,37.51591446,0.057448499
2.52E-05,36.73413919,0.057448499
2.67E-05,39.37918739,0.057448499
2.79E-05,37.50560391,0.057448499
2.94E-05,38.26708102,0.057448499
3.04E-05,36.8465905,0.057448499
3.18E-05,36.01228021,0.057448499
3.41E-05,36.86419351,0.057448499
3.44E-05,37.69080119,0.057448499
3.88E-05,38.51556778,0.057448499
3.94E-05,39.45690097,0.057448499
4.18E-05,40.55100478,0.057448499
4.34E-05,41.45276268,0.057448499
4.48E-05,42.16413649,0.057448499
4.73E-05,41.39238492,0.057448499
4.73E-05,40.06965778,0.057448499
4.95E-05,39.18483886,0.057448499
5.12E-05,38.45809198,0.057448499
5.29E-05,37.72446799,0.057448499
5.41E-05,37.00290432,0.057448499
5.49E-05,36.28136602,0.057448499
5.66E-05,35.32786346,0.057448499
5.77E-05,33.96040347,0.057448499
5.98E-05,33.13742936,0.057448499
6.03E-05,32.33288254,0.057448499
6.27E-05,34.64249319,0.057448499
6.59E-05,34.25362988,0.057448499
6.99E-05,34.99108512,0.057448499
7.26E-05,34.02559325,0.057448499
7.49E-05,33.45856182,0.057448499
7.64E-05,31.8608844,0.057448499
7.75E-05,30.66434802,0.057448499
7.86E-05,29.61812332,0.057448499
7.92E-05,28.92465331,0.057448499
8.20E-05,30.88351472,0.057448499
8.29E-05,31.91664103,0.057448499
8.33E-05,33.27467963,0.057448499
8.40E-05,34.11505073,0.057448499
8.62E-05,31.90749921,0.057448499
8.74E-05,30.77795592,0.057448499
8.78E-05,30.32699781,0.057448499
9.28E-05,31.90708409,0.057448499
9.50E-05,31.45386751,0.057448499
9.69E-05,32.73137508,0.057448499
9.77E-05,34.22531417,0.057448499
9.82E-05,33.29711555,0.057448499
0.000100361,31.849339,0.057448499
0.00010176,32.55069609,0.057448499
0.000102805,30.7709603,0.057448499
0.000102721,29.42418893,0.057448499
0.000103681,28.35692743,0.057448499
0.000103762,27.59034178,0.057448499
0.000103873,26.52614061,0.057448499
0.000105088,25.51926537,0.057448499
0.0001068,26.06262837,0.057448499
0.000108299,28.70234608,0.057448499
0.000109464,30.18819265,0.057448499
0.000110104,31.40780937,0.057448499
0.000114048,30.41980735,0.057448499
0.000116553,29.44907531,0.057448499
0.000119107,27.67955032,0.057448499
0.000119869,26.98807627,0.057448499
0.00012044,26.19640772,0.057448499
0.000123007,29.70848565,0.057448499
0.000123727,28.91780968,0.057448499
0.000124636,27.25833046,0.057448499
0.000124636,26.53684293,0.057448499
0.000124636,25.8153554,0.057448499
0.000125113,24.80968871,0.057448499
0.000125948,23.39355676,0.057448499
0.000127292,22.19030164,0.057448499
0.000128293,23.29405765,0.057448499
0.000130214,25.41417368,0.057448499
0.000130613,26.11559451,0.057448499
0.000130988,27.09990413,0.057448499
0.000131222,28.3302882,0.057448499
0.000132769,30.50344545,0.057448499
0.000132777,32.23541893,0.057448499
0.000135019,31.47458187,0.057448499
0.000137386,33.02941858,0.057448499
0.000137652,32.10750092,0.057448499
0.000138183,31.16552503,0.057448499
0.00013898,30.74460654,0.057448499
0.000139777,29.96294429,0.057448499
0.000140375,29.15123274,0.057448499
0.000142168,28.18913516,0.057448499
0.000142434,27.19707288,0.057448499
0.000144089,26.12676092,0.057448499
0.000146012,25.27287818,0.057448499
0.000147348,28.48942503,0.057448499
0.000148986,27.4905949,0.057448499
0.000151333,28.87997698,0.057448499
0.000152058,27.61732757,0.057448499
0.000152794,26.49496681,0.057448499
0.000154442,25.21221731,0.057448499
0.000155237,24.38245598,0.057448499
0.000158246,26.28142459,0.057448499
0.000158277,27.22381692,0.057448499
0.000159063,28.89150942,0.057448499
0.000160338,27.91742003,0.057448499
0.000162091,25.63259784,0.057448499
0.000163239,24.20959097,0.057448499
0.000164083,23.54817363,0.057448499
0.00016488,22.74647006,0.057448499
0.000167669,24.38968067,0.057448499
0.000169861,25.33899863,0.057448499
0.000173134,26.23313408,0.057448499
0.000175638,26.78912119,0.057448499
0.000177232,26.26293501,0.057448499
0.000178985,27.50738934,0.057448499
0.000180021,26.95919324,0.057448499
0.000182492,26.00406697,0.057448499
0.000183209,25.0600751,0.057448499
0.00018467,24.30843253,0.057448499
0.0001856,22.74515032,0.057448499
0.000185678,21.98357517,0.057448499
0.000186795,20.76098347,0.057448499
0.000188548,19.58244217,0.057448499
0.000189983,18.7251549,0.057448499
0.000191399,17.34549828,0.057448499
0.000191999,17.82200418,0.057448499
0.000194286,18.78487011,0.057448499
0.000195661,19.3873197,0.057448499
0.000196617,20.01087917,0.057448499
0.000198483,21.12098277,0.057448499
0.000199865,22.32337401,0.057448499
0.000202148,23.69473406,0.057448499
0.000205124,22.91425795,0.057448499
0.000206025,21.98628748,0.057448499
0.000209249,23.3150073,0.057448499
0.000209906,24.52347136,0.057448499
0.000211464,24.12284322,0.057448499
0.000213505,22.9957936,0.057448499
0.00021436,24.00649291,0.057448499
0.00021575,24.8676099,0.057448499
0.000218512,23.71706215,0.057448499
0.000220063,24.72093355,0.057448499
0.000220063,25.82835693,0.057448499
0.00022186,26.83696223,0.057448499
0.000224158,26.08850003,0.057448499
0.000225629,25.42412938,0.057448499
0.000226641,24.30575923,0.057448499
0.000227039,23.64437028,0.057448499
0.000227663,22.71062398,0.057448499
0.000228633,20.97710701,0.057448499
0.000229923,22.44256424,0.057448499
0.000232383,23.87250096,0.057448499
0.00023304,22.95256252,0.057448499
0.000233602,21.88031608,0.057448499
0.000233813,21.41935227,0.057448499
0.00023461,20.75793794,0.057448499
0.000235566,19.77184406,0.057448499
0.00023716,19.12240377,0.057448499
0.000237774,18.44296391,0.057448499
0.000238196,17.81163543,0.057448499
0.000241517,24.40501833,0.057448499
0.000246336,19.59765752,0.057448499
0.000246883,19.07368534,0.057448499
0.000248556,20.48649183,0.057448499
0.000251345,19.33794652,0.057448499
0.000254132,20.40263121,0.057448499
0.000254932,21.35788319,0.057448499
0.000257884,19.31469434,0.057448499
0.000258776,20.56260247,0.057448499
0.000259996,21.1991342,0.057448499
0.000260581,22.10428866,0.057448499
0.000262502,23.31678518,0.057448499
0.000263579,22.51471863,0.057448499
0.000264362,21.35728255,0.057448499
0.000266141,20.44779433,0.057448499
0.000267284,19.69366684,0.057448499
0.000270902,23.30686738,0.057448499
0.000270448,21.55754612,0.057448499
0.000272663,22.42395411,0.057448499
0.00027419,21.2364086,0.057448499
0.000276162,21.78942346,0.057448499
0.000276823,22.70927795,0.057448499
0.000277644,23.4607752,0.057448499
0.000278706,20.37033592,0.057448499
0.000280326,19.06234378,0.057448499
0.000281675,19.03539486,0.057448499
0.000284019,20.96522474,0.057448499
0.000286277,20.08326283,0.057448499
0.000287605,19.34164938,0.057448499
0.000289363,18.54489495,0.057448499
0.000289808,17.55604638,0.057448499
0.00029472,18.93080475,0.057448499
0.000296392,19.81372686,0.057448499
0.000297566,18.95020915,0.057448499
0.000297965,18.19863426,0.057448499
0.000298363,17.14643956,0.057448499
0.000298363,16.42495203,0.057448499
0.000299089,15.24891824,0.057448499
0.000300785,13.41624332,0.057448499
0.000302705,14.78142049,0.057448499
0.000304611,16.16765525,0.057448499
0.000305277,18.09017863,0.057448499
0.000307319,16.09070078,0.057448499
0.000307919,17.87733911,0.057448499
0.000310716,17.55148953,0.057448499
0.000311114,16.64459441,0.057448499
0.000311911,16.06334536,0.057448499
0.000312974,15.0010877,0.057448499
0.000313386,14.25953254,0.057448499
0.000313574,13.39774383,0.057448499
0.000313676,12.55600189,0.057448499
0.000314145,11.91464974,0.057448499
0.000314465,11.16307983,0.057448499
0.0003147,10.47163932,0.057448499
0.000318286,15.14604888,0.057448499
0.000318972,16.0371282,0.057448499
0.000319693,17.34549421,0.057448499
0.000323466,15.43130776,0.057448499
0.000324662,14.57947551,0.057448499
0.000325459,14.04832976,0.057448499
0.000326275,13.30782682,0.057448499
0.000327451,12.42485591,0.057448499
0.000327849,11.77348762,0.057448499
0.00032806,11.13215193,0.057448499
0.000329842,14.97997198,0.057448499
0.000331575,16.58126301,0.057448499
0.00033357,15.92358074,0.057448499
0.000336729,15.26297481,0.057448499
0.000336914,14.49101431,0.057448499
0.000339803,14.73884165,0.057448499
0.000340916,13.0421433,0.057448499
0.000343578,13.54965342,0.057448499
