Time,H_mol/cm^3,Relative_Uncertainty,W
4.02062E-05,1.4759E-12,.05,1e-10
5.97938E-05,2.48269E-12,.05,1e-10
8.14433E-05,4.02832E-12,.05,.12
9.94845E-05,5.34198E-12,.05,.12
0.000121134,7.27194E-12,.05,.12
0.000154124,1.04361E-11,.05,.12
0.00018299,1.31375E-11,.05,.12
0.000206701,1.56063E-11,.05,.12
0.000239175,1.86935E-11,.05,.12
0.000263918,2.07015E-11,.05,.12
0.000296907,2.38657E-11,.05,.12
0.000318557,2.64874E-11,.05,.12
0.000340722,2.85713E-11,.05,.12
0.000374227,2.99678E-11,.05,.12
0.000386082,3.10485E-11,.05,.12
