Time,O_ppm,W
1.66E-07,0.002449167,0.060192927
2.11E-07,0.003107936,0.060192927
2.55E-07,0.003764518,0.060192927
3.00E-07,0.004418921,0.060192927
3.45E-07,0.005071152,0.060192927
4.28E-07,0.006270952,0.060192927
5.60E-07,0.008158037,0.060192927
6.91E-07,0.010026832,0.060192927
8.23E-07,0.011877516,0.060192927
9.55E-07,0.013710265,0.060192927
1.09E-06,0.015525252,0.060192927
1.22E-06,0.017322649,0.060192927
1.35E-06,0.019102627,0.060192927
1.57E-06,0.022024945,0.060192927
1.79E-06,0.024900312,0.060192927
2.01E-06,0.027729482,0.060192927
2.22E-06,0.030513197,0.060192927
2.63E-06,0.035582928,0.060192927
3.04E-06,0.040501901,0.060192927
3.45E-06,0.0452746,0.060192927
3.86E-06,0.049905379,0.060192927
4.26E-06,0.054398458,0.060192927
4.67E-06,0.058757934,0.060192927
5.08E-06,0.062987782,0.060192927
5.49E-06,0.067091859,0.060192927
6.04E-06,0.072446618,0.060192927
6.59E-06,0.077587276,0.060192927
7.14E-06,0.082522396,0.060192927
7.69E-06,0.087260199,0.060192927
8.24E-06,0.091808577,0.060192927
8.80E-06,0.096175107,0.060192927
9.35E-06,0.100367063,0.060192927
1.03E-05,0.107355129,0.060192927
1.14E-05,0.114370153,0.060192927
1.21E-05,0.119134672,0.060192927
1.29E-05,0.123637248,0.060192927
1.37E-05,0.127892286,0.060192927
1.44E-05,0.131913397,0.060192927
1.52E-05,0.135713444,0.060192927
1.60E-05,0.139304584,0.060192927
1.67E-05,0.142698304,0.060192927
1.75E-05,0.145905458,0.060192927
1.82E-05,0.148936304,0.060192927
1.90E-05,0.151800537,0.060192927
1.98E-05,0.154507316,0.060192927
2.05E-05,0.157065299,0.060192927
