Time,NO2_ppm
0.35429025747660703, 32.48730964467005
0.4206164760565102, 32.893401015228434
0.4687175096324384, 32.284263959390856
0.5469084459666077, 31.472081218274113
0.661366277291909, 31.472081218274113
0.7638064950155955, 31.67512690355329
0.8840743685401505, 30.253807106598984
1.02272032291603, 30.86294416243655
1.167115161152223, 29.64467005076142
1.2996758608036205, 29.847715736040612
1.4501253745948257, 28.832487309644662
1.5705461439667294, 28.42639593908629
1.6788269830591402, 27.411167512690355
1.8354534890832364, 27.411167512690355
1.9498501620695983, 27.00507614213197
2.1063237722463457, 25.989847715736033
2.2449085682832854, 26.192893401015226
2.3834627851507553, 26.192893401015226
2.521986422848755, 25.989847715736033

