Time,O_ppm
6.81E-14,0.472999054
6.81E-10,0.472998412
7.50E-09,0.472991989
2.92E-08,0.47297154
7.57E-08,0.472927714
1.63E-07,0.472845697
3.18E-07,0.472699398
5.92E-07,0.472441623
1.09E-06,0.471975537
2.31E-06,0.470826884
3.53E-06,0.469681027
4.75E-06,0.468537959
5.98E-06,0.467397674
8.00E-06,0.46551388
1.00E-05,0.463637684
1.21E-05,0.461769054
1.41E-05,0.459907959
1.72E-05,0.45705528
2.03E-05,0.454220303
2.61E-05,0.449004435
3.19E-05,0.443848486
3.77E-05,0.438751767
4.35E-05,0.433713596
4.93E-05,0.428733301
5.89E-05,0.420587273
6.86E-05,0.412596086
8.36E-05,0.400413175
9.86E-05,0.388590147
0.000113676,0.377116375
0.000128716,0.365981543
0.000143757,0.355175639
0.000158797,0.344688942
0.000173837,0.334512024
0.000188877,0.324635732
0.000203917,0.315051188
0.000218957,0.305749773
0.000233997,0.296723122
0.000249037,0.287963119
0.000275673,0.273079314
0.000302309,0.258965274
0.000328945,0.245581185
0.000355581,0.232889297
0.000382217,0.220853808
0.000408853,0.209440772
0.000435489,0.198617994
0.000462125,0.188354948
0.000488761,0.178622686
0.000515397,0.169393756
0.000542033,0.160642127
0.000568669,0.152343113
0.000595305,0.144473307
0.000621941,0.137010509
0.000648577,0.129933671
0.000675213,0.123222832
0.000701849,0.116859061
0.000728485,0.110824411
0.000755121,0.105101859
