Temperature,CH3OH_ppm
600,2378.378378
625,2527.027027
650,2567.567568
675,2628.378378
700,2358.108108
725,2344.594595
750,1824.324324
775,952.7027027
800,506.7567568
825,675.6756757
850,858.1081081
875,824.3243243
900,831.0810811
