Time,OH_ppm,Relative_Uncertainty,W
0.0003332,10.5,0.05,1.00E-10
0.0003348,11.4,0.05,1.00E-10
0.0003364,11.2,0.05,0.028903666
0.000338,11.6,0.05,0.028903666
0.0003396,12,0.05,0.028903666
0.0003412,12.2,0.05,0.028903666
0.0003428,12.3,0.05,0.028903666
0.0003444,12.7,0.05,0.028903666
0.000346,13.3,0.05,0.028903666
0.0003476,13.5,0.05,0.028903666
0.0003492,13.5,0.05,0.028903666
0.0003508,14.2,0.05,0.028903666
0.0003524,14.1,0.05,0.028903666
0.000354,14.6,0.05,0.028903666
0.0003556,14.9,0.05,0.028903666
0.0003572,15.2,0.05,0.028903666
0.0003588,15.8,0.05,0.028903666
0.0003604,16.3,0.05,0.028903666
0.000362,16.5,0.05,0.028903666
0.0003636,17.2,0.05,0.028903666
0.0003652,17.3,0.05,0.028903666
0.0003668,18.1,0.05,0.028903666
0.0003684,18.2,0.05,0.028903666
0.00037,18.1,0.05,0.028903666
0.0003716,18.5,0.05,0.028903666
0.0003732,19,0.05,0.028903666
0.0003748,19.8,0.05,0.028903666
0.0003764,20.2,0.05,0.028903666
0.000378,20.6,0.05,0.028903666
0.0003796,21.1,0.05,0.028903666
0.0003812,21.5,0.05,0.028903666
0.0003828,21.8,0.05,0.028903666
0.0003844,22.4,0.05,0.028903666
0.000386,22.7,0.05,0.028903666
0.0003876,23.1,0.05,0.028903666
0.0003892,23.5,0.05,0.028903666
0.0003908,24.4,0.05,0.028903666
0.0003924,24.9,0.05,0.028903666
0.000394,24.8,0.05,0.028903666
0.0003956,25.2,0.05,0.028903666
0.0003972,25.7,0.05,0.028903666
0.0003988,26.9,0.05,0.028903666
0.0004004,26.9,0.05,0.028903666
0.000402,27.4,0.05,0.028903666
0.0004036,28.2,0.05,0.028903666
0.0004052,28.4,0.05,0.028903666
0.0004068,28.8,0.05,0.028903666
0.0004084,29.7,0.05,0.028903666
0.00041,30.1,0.05,0.028903666
0.0004116,30.9,0.05,0.028903666
0.0004132,31,0.05,0.028903666
0.0004148,31.5,0.05,0.028903666
0.0004164,32.1,0.05,0.028903666
0.000418,33.1,0.05,0.028903666
0.0004196,33.6,0.05,0.028903666
0.0004212,33.7,0.05,0.028903666
0.0004228,34.4,0.05,0.028903666
0.0004244,35.1,0.05,0.028903666
0.000426,35.4,0.05,0.028903666
0.0004276,36.5,0.05,0.028903666
0.0004292,37.1,0.05,0.028903666
0.0004308,37.6,0.05,0.028903666
0.0004324,38.2,0.05,0.028903666
0.000434,38.6,0.05,0.028903666
0.0004356,39.2,0.05,0.028903666
0.0004372,40.4,0.05,0.028903666
0.0004388,40.6,0.05,0.028903666
0.0004404,41.3,0.05,0.028903666
0.000442,41.9,0.05,0.028903666
0.0004436,42.8,0.05,0.028903666
0.0004452,43.4,0.05,0.028903666
0.0004468,43.9,0.05,0.028903666
0.0004484,44.7,0.05,0.028903666
0.00045,45.2,0.05,0.028903666
0.0004516,45.8,0.05,0.028903666
0.0004532,46.6,0.05,0.028903666
0.0004548,47.5,0.05,0.028903666
0.0004564,48.5,0.05,0.028903666
0.000458,49.1,0.05,0.028903666
0.0004596,49.8,0.05,0.028903666
0.0004612,50.4,0.05,0.028903666
0.0004628,51.4,0.05,0.028903666
0.0004644,51.4,0.05,0.028903666
0.000466,52.4,0.05,0.028903666
0.0004676,53.1,0.05,0.028903666
0.0004692,53.8,0.05,0.028903666
0.0004708,54.4,0.05,0.028903666
0.0004724,55,0.05,0.028903666
0.000474,56,0.05,0.028903666
0.0004756,56.9,0.05,0.028903666
0.0004772,57.7,0.05,0.028903666
0.0004788,58.5,0.05,0.028903666
0.0004804,59.1,0.05,0.028903666
0.000482,59.6,0.05,0.028903666
0.0004836,60.4,0.05,0.028903666
0.0004852,60.9,0.05,0.028903666
0.0004868,61.8,0.05,0.028903666
0.0004884,62.6,0.05,0.028903666
0.00049,63,0.05,0.028903666
0.0004916,64.1,0.05,0.028903666
0.0004932,64.6,0.05,0.028903666
0.0004948,65.2,0.05,0.028903666
0.0004964,66.1,0.05,0.028903666
0.000498,66.5,0.05,0.028903666
0.0004996,67.4,0.05,0.028903666
0.0005012,68,0.05,0.028903666
0.0005028,68.7,0.05,0.028903666
0.0005044,69.4,0.05,0.028903666
0.000506,70.2,0.05,0.028903666
0.0005076,70.9,0.05,0.028903666
0.0005092,71.5,0.05,0.028903666
0.0005108,72,0.05,0.028903666
0.0005124,72.8,0.05,0.028903666
0.000514,73.5,0.05,0.028903666
0.0005156,74.1,0.05,0.028903666
0.0005172,74.4,0.05,0.028903666
0.0005188,75.4,0.05,0.028903666
0.0005204,76.1,0.05,0.028903666
0.000522,76.6,0.05,0.028903666
0.0005236,77.4,0.05,0.028903666
0.0005252,78.3,0.05,0.028903666
0.0005268,78.7,0.05,0.028903666
0.0005284,78.9,0.05,0.028903666
