Temperature,CO_ppm,W
600,10,1.00E-10
625,10,1.00E-10
650,10,1.00E-10
675,10,1.00E-10
700,10,1.00E-10
725,836.4312268,0.353553391
750,1840.148699,0.353553391
775,1338.289963,0.353553391
800,1427.509294,0.353553391
825,1304.832714,0.353553391
850,1159.851301,0.353553391
875,1572.490706,0.353553391
900,1550.185874,0.353553391
