Time,CH2O
5.87411E-05,0.009973411
0.000109802,0.009607621
0.00018251,0.009185946
0.000239758,0.008792083
0.000286178,0.008454412
0.000337244,0.008060374
0.000389838,0.007779374
0.000440899,0.007413585
0.000490423,0.006991255
0.000547653,0.006710386
0.000618833,0.006175673
0.000680722,0.005753693
0.000758063,0.005360397
0.000850873,0.004882793
0.000908103,0.004601924
