Reaction,Uncertainty A (unit),Uncertainty N (unit),Uncertainty Ea (unit)
C2H4O1-2 + H => C2H3O1-2 + H2,6.93E-01,1.00E-09,1.00E-09
C2H3O1-2 + H2 => C2H4O1-2 + H,6.93E-01,1.00E-09,1.00E-09
C2H4O1-2 + HO2 => C2H3O1-2 + H2O2,6.93E-01,1.00E-09,1.00E-09
C2H3O1-2 + H2O2 => C2H4O1-2 + HO2,6.93E-01,1.00E-09,1.00E-09
C2H4O1-2 + CH3O2 => C2H3O1-2 + CH3O2H,6.93E-01,1.00E-09,1.00E-09
C2H3O1-2 + CH3O2H => C2H4O1-2 + CH3O2,6.93E-01,1.00E-09,1.00E-09
C2H4O1-2 + C2H5O2 => C2H3O1-2 + C2H5O2H,6.93E-01,1.00E-09,1.00E-09
C2H3O1-2 + C2H5O2H => C2H4O1-2 + C2H5O2,6.93E-01,1.00E-09,1.00E-09
C2H4O1-2 + CH3 => C2H3O1-2 + CH4,6.93E-01,1.00E-09,1.00E-09
C2H3O1-2 + CH4 => C2H4O1-2 + CH3,6.93E-01,1.00E-09,1.00E-09
C2H4O1-2 + CH3O => C2H3O1-2 + CH3OH,6.93E-01,1.00E-09,1.00E-09
C2H3O1-2 + CH3OH => C2H4O1-2 + CH3O,6.93E-01,1.00E-09,1.00E-09
C2H3O1-2 => CH3CO,6.93E-01,1.00E-09,1.00E-09
CH3CO => C2H3O1-2,6.93E-01,1.00E-09,1.00E-09
C2H3O1-2 => CH2CHO,6.93E-01,1.00E-09,1.00E-09
CH2CHO => C2H3O1-2,6.93E-01,1.00E-09,1.00E-09
CH3CHO => CH3 + HCO,6.93E-01,1.00E-09,1.00E-09
CH3 + HCO => CH3CHO,6.93E-01,1.00E-09,1.00E-09
CH3CHO + H => CH3CO + H2,6.93E-01,1.00E-09,1.00E-09
CH3CO + H2 => CH3CHO + H,6.93E-01,1.00E-09,1.00E-09
CH3CHO + O => CH3CO + OH,6.93E-01,1.00E-09,1.00E-09
CH3CO + OH => CH3CHO + O,6.93E-01,1.00E-09,1.00E-09
CH3CHO + OH => CH3CO + H2O,6.93E-01,1.00E-09,1.00E-09
CH3CO + H2O => CH3CHO + OH,6.93E-01,1.00E-09,1.00E-09
CH3CHO + O2 => CH3CO + HO2,6.93E-01,1.00E-09,1.00E-09
CH3CO + HO2 => CH3CHO + O2,6.93E-01,1.00E-09,1.00E-09
CH3 + CH3CHO => CH3CO + CH4,6.93E-01,1.00E-09,1.00E-09
CH3CO + CH4 => CH3 + CH3CHO,6.93E-01,1.00E-09,1.00E-09
CH3CHO + HO2 => CH3CO + H2O2,6.93E-01,1.00E-09,1.00E-09
CH3CO + H2O2 => CH3CHO + HO2,6.93E-01,1.00E-09,1.00E-09
CH3CHO + CH3O2 => CH3CO + CH3O2H,6.93E-01,1.00E-09,1.00E-09
CH3CO + CH3O2H => CH3CHO + CH3O2,6.93E-01,1.00E-09,1.00E-09
CH3CHO + CH3CO3 => CH3CO + CH3CO3H,6.93E-01,1.00E-09,1.00E-09
CH3CO + CH3CO3H => CH3CHO + CH3CO3,6.93E-01,1.00E-09,1.00E-09
CH3CHO + OH => CH3 + HOCHO,6.93E-01,1.00E-09,1.00E-09
CH3 + HOCHO => CH3CHO + OH,6.93E-01,1.00E-09,1.00E-09
CH3CHO + OH => CH2CHO + H2O,6.93E-01,1.00E-09,1.00E-09
CH2CHO + H2O => CH3CHO + OH,6.93E-01,1.00E-09,1.00E-09
CH3CO (+M) <=> CH3 + CO (+M),6.93E-01,1.00E-09,1.00E-09
CH3CO + H => CH2CO + H2,6.93E-01,1.00E-09,1.00E-09
CH2CO + H2 => CH3CO + H,6.93E-01,1.00E-09,1.00E-09
CH3CO + O => CH2CO + OH,6.93E-01,1.00E-09,1.00E-09
CH2CO + OH => CH3CO + O,6.93E-01,1.00E-09,1.00E-09
CH3 + CH3CO => CH2CO + CH4,6.93E-01,1.00E-09,1.00E-09
CH2CO + CH4 => CH3 + CH3CO,6.93E-01,1.00E-09,1.00E-09
CH3CO3 => CH3CO + O2,6.93E-01,1.00E-09,1.00E-09
CH3CO + O2 => CH3CO3,6.93E-01,1.00E-09,1.00E-09
CH3CO3 + HO2 => CH3CO3H + O2,6.93E-01,1.00E-09,1.00E-09
CH3CO3H + O2 => CH3CO3 + HO2,6.93E-01,1.00E-09,1.00E-09
CH3CO3 + H2O2 => CH3CO3H + HO2,6.93E-01,1.00E-09,1.00E-09
CH3CO3H + HO2 => CH3CO3 + H2O2,6.93E-01,1.00E-09,1.00E-09
CH3CO3 + CH4 => CH3 + CH3CO3H,6.93E-01,1.00E-09,1.00E-09
CH3 + CH3CO3H => CH3CO3 + CH4,6.93E-01,1.00E-09,1.00E-09
CH2O + CH3CO3 => CH3CO3H + HCO,6.93E-01,1.00E-09,1.00E-09
CH3CO3H + HCO => CH2O + CH3CO3,6.93E-01,1.00E-09,1.00E-09
C2H6 + CH3CO3 => C2H5 + CH3CO3H,6.93E-01,1.00E-09,1.00E-09
C2H5 + CH3CO3H => C2H6 + CH3CO3,6.93E-01,1.00E-09,1.00E-09
CH3CO3H => CH3CO2 + OH,6.93E-01,1.00E-09,1.00E-09
CH3CO2 + OH => CH3CO3H,6.93E-01,1.00E-09,1.00E-09
CH3CO2 + M => CH3 + CO2 + M,6.93E-01,1.00E-09,1.00E-09
CH3 + CO2 + M => CH3CO2 + M,6.93E-01,1.00E-09,1.00E-09
CH2CHO => CH2CO + H,6.93E-01,1.00E-09,1.00E-09
CH2CO + H => CH2CHO,6.93E-01,1.00E-09,1.00E-09
CH2CHO + O2 => CH2O + CO + OH,6.93E-01,1.00E-09,1.00E-09
CH2 + CO (+M) <=> CH2CO (+M),6.93E-01,1.00E-09,1.00E-09
CH2CO + H => CH3 + CO,6.93E-01,1.00E-09,1.00E-09
CH3 + CO => CH2CO + H,6.93E-01,1.00E-09,1.00E-09
CH2CO + H => H2 + HCCO,6.93E-01,1.00E-09,1.00E-09
H2 + HCCO => CH2CO + H,6.93E-01,1.00E-09,1.00E-09
CH2CO + O => CH2 + CO2,6.93E-01,1.00E-09,1.00E-09
CH2 + CO2 => CH2CO + O,6.93E-01,1.00E-09,1.00E-09
CH2CO + O => HCCO + OH,6.93E-01,1.00E-09,1.00E-09
HCCO + OH => CH2CO + O,6.93E-01,1.00E-09,1.00E-09
CH2CO + OH => H2O + HCCO,6.93E-01,1.00E-09,1.00E-09
H2O + HCCO => CH2CO + OH,6.93E-01,1.00E-09,1.00E-09
CH2CO + OH => CH2OH + CO,6.93E-01,1.00E-09,1.00E-09
CH2OH + CO => CH2CO + OH,6.93E-01,1.00E-09,1.00E-09
CH2(S) + CH2CO => C2H4 + CO,6.93E-01,1.00E-09,1.00E-09
C2H4 + CO => CH2(S) + CH2CO,6.93E-01,1.00E-09,1.00E-09
HCCO + OH => 2 CO + H2,6.93E-01,1.00E-09,1.00E-09
H + HCCO => CH2(S) + CO,6.93E-01,1.00E-09,1.00E-09
CH2(S) + CO => H + HCCO,6.93E-01,1.00E-09,1.00E-09
HCCO + O => 2 CO + H,6.93E-01,1.00E-09,1.00E-09
HCCO + O2 => 2 CO + OH,6.93E-01,1.00E-09,1.00E-09
HCCO + M => CH + CO + M,6.93E-01,1.00E-09,1.00E-09
CH + CO + M => HCCO + M,6.93E-01,1.00E-09,1.00E-09
CH + CH2O => CH2CO + H,6.93E-01,1.00E-09,1.00E-09
CH2CO + H => CH + CH2O,6.93E-01,1.00E-09,1.00E-09
CH + HCCO => C2H2 + CO,6.93E-01,1.00E-09,1.00E-09
C2H2 + CO => CH + HCCO,6.93E-01,1.00E-09,1.00E-09
C2H3 + H (+M) <=> C2H4 (+M),6.93E-01,1.00E-09,1.00E-09
C2H4 (+M) <=> C2H2 + H2 (+M),6.93E-01,1.00E-09,1.00E-09
C2H4 + H => C2H3 + H2,6.93E-01,1.00E-09,1.00E-09
C2H3 + H2 => C2H4 + H,6.93E-01,1.00E-09,1.00E-09
C2H4 + O => CH3 + HCO,6.93E-01,1.00E-09,1.00E-09
CH3 + HCO => C2H4 + O,6.93E-01,1.00E-09,1.00E-09
C2H4 + O => CH2CHO + H,6.93E-01,1.00E-09,1.00E-09
CH2CHO + H => C2H4 + O,6.93E-01,1.00E-09,1.00E-09
C2H4 + OH => C2H3 + H2O,6.93E-01,1.00E-09,1.00E-09
C2H3 + H2O => C2H4 + OH,6.93E-01,1.00E-09,1.00E-09
C2H4 + CH3 => C2H3 + CH4,6.93E-01,1.00E-09,1.00E-09
C2H3 + CH4 => C2H4 + CH3,6.93E-01,1.00E-09,1.00E-09
C2H4 + O2 => C2H3 + HO2,6.93E-01,1.00E-09,1.00E-09
C2H3 + HO2 => C2H4 + O2,6.93E-01,1.00E-09,1.00E-09
C2H4 + CH3O => C2H3 + CH3OH,6.93E-01,1.00E-09,1.00E-09
C2H3 + CH3OH => C2H4 + CH3O,6.93E-01,1.00E-09,1.00E-09
C2H4 + CH3O2 => C2H3 + CH3O2H,6.93E-01,1.00E-09,1.00E-09
C2H3 + CH3O2H => C2H4 + CH3O2,6.93E-01,1.00E-09,1.00E-09
C2H4 + C2H5O2 => C2H3 + C2H5O2H,6.93E-01,1.00E-09,1.00E-09
C2H3 + C2H5O2H => C2H4 + C2H5O2,6.93E-01,1.00E-09,1.00E-09
C2H4 + CH3CO3 => C2H3 + CH3CO3H,6.93E-01,1.00E-09,1.00E-09
C2H3 + CH3CO3H => C2H4 + CH3CO3,6.93E-01,1.00E-09,1.00E-09
C2H4 + CH3O2 => C2H4O1-2 + CH3O,6.93E-01,1.00E-09,1.00E-09
C2H4O1-2 + CH3O => C2H4 + CH3O2,6.93E-01,1.00E-09,1.00E-09
C2H4 + C2H5O2 => C2H4O1-2 + C2H5O,6.93E-01,1.00E-09,1.00E-09
C2H4O1-2 + C2H5O => C2H4 + C2H5O2,6.93E-01,1.00E-09,1.00E-09
C2H4 + HO2 => C2H4O1-2 + OH,6.93E-01,1.00E-09,1.00E-09
C2H4O1-2 + OH => C2H4 + HO2,6.93E-01,1.00E-09,1.00E-09
CH + CH4 => C2H4 + H,6.93E-01,1.00E-09,1.00E-09
C2H4 + H => CH + CH4,6.93E-01,1.00E-09,1.00E-09
CH2(S) + CH3 => C2H4 + H,6.93E-01,1.00E-09,1.00E-09
C2H4 + H => CH2(S) + CH3,6.93E-01,1.00E-09,1.00E-09
C2H3 + O2 => C2H2 + HO2,6.93E-01,1.00E-09,1.00E-09
C2H2 + HO2 => C2H3 + O2,6.93E-01,1.00E-09,1.00E-09
C2H3 + O2 => CH2O + HCO,6.93E-01,1.00E-09,1.00E-09
CH2O + HCO => C2H3 + O2,6.93E-01,1.00E-09,1.00E-09
C2H3 + O2 => CH2CHO + O,6.93E-01,1.00E-09,1.00E-09
CH2CHO + O => C2H3 + O2,6.93E-01,1.00E-09,1.00E-09
C2H3 + CH3 => C2H2 + CH4,6.93E-01,1.00E-09,1.00E-09
C2H2 + CH4 => C2H3 + CH3,6.93E-01,1.00E-09,1.00E-09
C2H3 + H => C2H2 + H2,6.93E-01,1.00E-09,1.00E-09
C2H2 + H2 => C2H3 + H,6.93E-01,1.00E-09,1.00E-09
C2H3 + OH => C2H2 + H2O,6.93E-01,1.00E-09,1.00E-09
C2H2 + H2O => C2H3 + OH,6.93E-01,1.00E-09,1.00E-09
C2H + H (+M) <=> C2H2 (+M),6.93E-01,1.00E-09,1.00E-09
C2H2 + O2 => HCCO + OH,6.93E-01,1.00E-09,1.00E-09
HCCO + OH => C2H2 + O2,6.93E-01,1.00E-09,1.00E-09
C2H2 + O => C2H + OH,6.93E-01,1.00E-09,1.00E-09
C2H + OH => C2H2 + O,6.93E-01,1.00E-09,1.00E-09
C2H2 + O => CH2 + CO,6.93E-01,1.00E-09,1.00E-09
CH2 + CO => C2H2 + O,6.93E-01,1.00E-09,1.00E-09
C2H2 + O => H + HCCO,6.93E-01,1.00E-09,1.00E-09
H + HCCO => C2H2 + O,6.93E-01,1.00E-09,1.00E-09
C2H2 + OH => C2H + H2O,6.93E-01,1.00E-09,1.00E-09
C2H + H2O => C2H2 + OH,6.93E-01,1.00E-09,1.00E-09
C2H2 + OH => CH2CO + H,6.93E-01,1.00E-09,1.00E-09
CH2CO + H => C2H2 + OH,6.93E-01,1.00E-09,1.00E-09
C2H2 + OH => CH3 + CO,6.93E-01,1.00E-09,1.00E-09
CH3 + CO => C2H2 + OH,6.93E-01,1.00E-09,1.00E-09
C2H2 + OH => H + HCCOH,6.93E-01,1.00E-09,1.00E-09
H + HCCOH => C2H2 + OH,6.93E-01,1.00E-09,1.00E-09
H + HCCOH => CH2CO + H,6.93E-01,1.00E-09,1.00E-09
CH2CO + H => H + HCCOH,6.93E-01,1.00E-09,1.00E-09
C2H5OH (+M) <=> CH2OH + CH3 (+M),6.93E-01,1.00E-09,1.00E-09
C2H5OH (+M) <=> C2H5 + OH (+M),6.93E-01,1.00E-09,1.00E-09
C2H5OH (+M) <=> C2H4 + H2O (+M),6.93E-01,1.00E-09,1.00E-09
C2H5OH (+M) <=> CH3CHO + H2 (+M),6.93E-01,1.00E-09,1.00E-09
C2H5OH + O2 => HO2 + PC2H4OH,6.93E-01,1.00E-09,1.00E-09
HO2 + PC2H4OH => C2H5OH + O2,6.93E-01,1.00E-09,1.00E-09
C2H5OH + O2 => HO2 + SC2H4OH,6.93E-01,1.00E-09,1.00E-09
HO2 + SC2H4OH => C2H5OH + O2,6.93E-01,1.00E-09,1.00E-09
C2H5OH + OH => H2O + PC2H4OH,6.93E-01,1.00E-09,1.00E-09
H2O + PC2H4OH => C2H5OH + OH,6.93E-01,1.00E-09,1.00E-09
C2H5OH + OH => H2O + SC2H4OH,6.93E-01,1.00E-09,1.00E-09
H2O + SC2H4OH => C2H5OH + OH,6.93E-01,1.00E-09,1.00E-09
C2H5OH + OH => C2H5O + H2O,6.93E-01,1.00E-09,1.00E-09
C2H5O + H2O => C2H5OH + OH,6.93E-01,1.00E-09,1.00E-09
C2H5OH + H => H2 + PC2H4OH,6.93E-01,1.00E-09,1.00E-09
H2 + PC2H4OH => C2H5OH + H,6.93E-01,1.00E-09,1.00E-09
C2H5OH + H => H2 + SC2H4OH,6.93E-01,1.00E-09,1.00E-09
H2 + SC2H4OH => C2H5OH + H,6.93E-01,1.00E-09,1.00E-09
C2H5OH + H => C2H5O + H2,6.93E-01,1.00E-09,1.00E-09
C2H5O + H2 => C2H5OH + H,6.93E-01,1.00E-09,1.00E-09
C2H5OH + HO2 => H2O2 + PC2H4OH,6.93E-01,1.00E-09,1.00E-09
H2O2 + PC2H4OH => C2H5OH + HO2,6.93E-01,1.00E-09,1.00E-09
C2H5OH + HO2 => H2O2 + SC2H4OH,6.93E-01,1.00E-09,1.00E-09
H2O2 + SC2H4OH => C2H5OH + HO2,6.93E-01,1.00E-09,1.00E-09
C2H5OH + HO2 => C2H5O + H2O2,6.93E-01,1.00E-09,1.00E-09
C2H5O + H2O2 => C2H5OH + HO2,6.93E-01,1.00E-09,1.00E-09
C2H5OH + CH3O2 => CH3O2H + PC2H4OH,6.93E-01,1.00E-09,1.00E-09
CH3O2H + PC2H4OH => C2H5OH + CH3O2,6.93E-01,1.00E-09,1.00E-09
C2H5OH + CH3O2 => CH3O2H + SC2H4OH,6.93E-01,1.00E-09,1.00E-09
CH3O2H + SC2H4OH => C2H5OH + CH3O2,6.93E-01,1.00E-09,1.00E-09
C2H5OH + CH3O2 => C2H5O + CH3O2H,6.93E-01,1.00E-09,1.00E-09
C2H5O + CH3O2H => C2H5OH + CH3O2,6.93E-01,1.00E-09,1.00E-09
C2H5OH + O => OH + PC2H4OH,6.93E-01,1.00E-09,1.00E-09
OH + PC2H4OH => C2H5OH + O,6.93E-01,1.00E-09,1.00E-09
C2H5OH + O => OH + SC2H4OH,6.93E-01,1.00E-09,1.00E-09
OH + SC2H4OH => C2H5OH + O,6.93E-01,1.00E-09,1.00E-09
C2H5OH + O => C2H5O + OH,6.93E-01,1.00E-09,1.00E-09
C2H5O + OH => C2H5OH + O,6.93E-01,1.00E-09,1.00E-09
C2H5OH + CH3 => CH4 + PC2H4OH,6.93E-01,1.00E-09,1.00E-09
CH4 + PC2H4OH => C2H5OH + CH3,6.93E-01,1.00E-09,1.00E-09
C2H5OH + CH3 => CH4 + SC2H4OH,6.93E-01,1.00E-09,1.00E-09
CH4 + SC2H4OH => C2H5OH + CH3,6.93E-01,1.00E-09,1.00E-09
C2H5OH + CH3 => C2H5O + CH4,6.93E-01,1.00E-09,1.00E-09
C2H5O + CH4 => C2H5OH + CH3,6.93E-01,1.00E-09,1.00E-09
C2H5 + C2H5OH => C2H6 + PC2H4OH,6.93E-01,1.00E-09,1.00E-09
C2H6 + PC2H4OH => C2H5 + C2H5OH,6.93E-01,1.00E-09,1.00E-09
C2H5 + C2H5OH => C2H6 + SC2H4OH,6.93E-01,1.00E-09,1.00E-09
C2H6 + SC2H4OH => C2H5 + C2H5OH,6.93E-01,1.00E-09,1.00E-09
PC2H4OH => C2H4 + OH,6.93E-01,1.00E-09,1.00E-09
C2H4 + OH => PC2H4OH,6.93E-01,1.00E-09,1.00E-09
SC2H4OH + M => CH3CHO + H + M,6.93E-01,1.00E-09,1.00E-09
CH3CHO + H + M => SC2H4OH + M,6.93E-01,1.00E-09,1.00E-09
O2C2H4OH => O2 + PC2H4OH,6.93E-01,1.00E-09,1.00E-09
O2 + PC2H4OH => O2C2H4OH,6.93E-01,1.00E-09,1.00E-09
O2C2H4OH => 2 CH2O + OH,6.93E-01,1.00E-09,1.00E-09
O2 + SC2H4OH => CH3CHO + HO2,6.93E-01,1.00E-09,1.00E-09
CH3CHO + HO2 => O2 + SC2H4OH,6.93E-01,1.00E-09,1.00E-09
CH3COCH3 (+M) <=> CH3 + CH3CO (+M),6.93E-01,1.00E-09,1.00E-09
CH3COCH3 + OH => CH3COCH2 + H2O,6.93E-01,1.00E-09,1.00E-09
CH3COCH2 + H2O => CH3COCH3 + OH,6.93E-01,1.00E-09,1.00E-09
CH3COCH3 + H => CH3COCH2 + H2,6.93E-01,1.00E-09,1.00E-09
CH3COCH2 + H2 => CH3COCH3 + H,6.93E-01,1.00E-09,1.00E-09
CH3COCH3 + O => CH3COCH2 + OH,6.93E-01,1.00E-09,1.00E-09
CH3COCH2 + OH => CH3COCH3 + O,6.93E-01,1.00E-09,1.00E-09
CH3 + CH3COCH3 => CH3COCH2 + CH4,6.93E-01,1.00E-09,1.00E-09
CH3COCH2 + CH4 => CH3 + CH3COCH3,6.93E-01,1.00E-09,1.00E-09
CH3COCH3 + CH3O => CH3COCH2 + CH3OH,6.93E-01,1.00E-09,1.00E-09
CH3COCH2 + CH3OH => CH3COCH3 + CH3O,6.93E-01,1.00E-09,1.00E-09
CH3COCH3 + O2 => CH3COCH2 + HO2,6.93E-01,1.00E-09,1.00E-09
CH3COCH2 + HO2 => CH3COCH3 + O2,6.93E-01,1.00E-09,1.00E-09
CH3COCH3 + HO2 => CH3COCH2 + H2O2,6.93E-01,1.00E-09,1.00E-09
CH3COCH2 + H2O2 => CH3COCH3 + HO2,6.93E-01,1.00E-09,1.00E-09
CH3COCH3 + CH3O2 => CH3COCH2 + CH3O2H,6.93E-01,1.00E-09,1.00E-09
CH3COCH2 + CH3O2H => CH3COCH3 + CH3O2,6.93E-01,1.00E-09,1.00E-09
CH3COCH2 => CH2CO + CH3,6.93E-01,1.00E-09,1.00E-09
CH2CO + CH3 => CH3COCH2,6.93E-01,1.00E-09,1.00E-09
CH3COCH2O2 => CH3COCH2 + O2,6.93E-01,1.00E-09,1.00E-09
CH3COCH2 + O2 => CH3COCH2O2,6.93E-01,1.00E-09,1.00E-09
CH3COCH2O2 + CH3COCH3 => CH3COCH2 + CH3COCH2O2H,6.93E-01,1.00E-09,1.00E-09
CH3COCH2 + CH3COCH2O2H => CH3COCH2O2 + CH3COCH3,6.93E-01,1.00E-09,1.00E-09
CH2O + CH3COCH2O2 => CH3COCH2O2H + HCO,6.93E-01,1.00E-09,1.00E-09
CH3COCH2O2H + HCO => CH2O + CH3COCH2O2,6.93E-01,1.00E-09,1.00E-09
CH3COCH2O2 + HO2 => CH3COCH2O2H + O2,6.93E-01,1.00E-09,1.00E-09
CH3COCH2O2H => CH3COCH2O + OH,6.93E-01,1.00E-09,1.00E-09
CH3COCH2O + OH => CH3COCH2O2H,6.93E-01,1.00E-09,1.00E-09
CH3COCH2O => CH2O + CH3CO,6.93E-01,1.00E-09,1.00E-09
CH2O + CH3CO => CH3COCH2O,6.93E-01,1.00E-09,1.00E-09
C2H3CHO => C2H3 + HCO,6.93E-01,1.00E-09,1.00E-09
C2H3 + HCO => C2H3CHO,6.93E-01,1.00E-09,1.00E-09
C2H3CHO + H => C2H3CO + H2,6.93E-01,1.00E-09,1.00E-09
C2H3CO + H2 => C2H3CHO + H,6.93E-01,1.00E-09,1.00E-09
C2H3CHO + O => C2H3CO + OH,6.93E-01,1.00E-09,1.00E-09
C2H3CO + OH => C2H3CHO + O,6.93E-01,1.00E-09,1.00E-09
C2H3CHO + OH => C2H3CO + H2O,6.93E-01,1.00E-09,1.00E-09
C2H3CO + H2O => C2H3CHO + OH,6.93E-01,1.00E-09,1.00E-09
C2H3CHO + O2 => C2H3CO + HO2,6.93E-01,1.00E-09,1.00E-09
C2H3CO + HO2 => C2H3CHO + O2,6.93E-01,1.00E-09,1.00E-09
C2H3CHO + HO2 => C2H3CO + H2O2,6.93E-01,1.00E-09,1.00E-09
C2H3CO + H2O2 => C2H3CHO + HO2,6.93E-01,1.00E-09,1.00E-09
C2H3CHO + CH3 => C2H3CO + CH4,6.93E-01,1.00E-09,1.00E-09
C2H3CO + CH4 => C2H3CHO + CH3,6.93E-01,1.00E-09,1.00E-09
C2H3 + C2H3CHO => C2H3CO + C2H4,6.93E-01,1.00E-09,1.00E-09
C2H3CO + C2H4 => C2H3 + C2H3CHO,6.93E-01,1.00E-09,1.00E-09
C2H3CHO + CH3O => C2H3CO + CH3OH,6.93E-01,1.00E-09,1.00E-09
C2H3CO + CH3OH => C2H3CHO + CH3O,6.93E-01,1.00E-09,1.00E-09
C2H3CHO + CH3O2 => C2H3CO + CH3O2H,6.93E-01,1.00E-09,1.00E-09
C2H3CO + CH3O2H => C2H3CHO + CH3O2,6.93E-01,1.00E-09,1.00E-09
C2H3CO => C2H3 + CO,6.93E-01,1.00E-09,1.00E-09
C2H3 + CO => C2H3CO,6.93E-01,1.00E-09,1.00E-09
C2H5CHO => C2H5 + HCO,6.93E-01,1.00E-09,1.00E-09
C2H5 + HCO => C2H5CHO,6.93E-01,1.00E-09,1.00E-09
C2H5CHO + H => C2H5CO + H2,6.93E-01,1.00E-09,1.00E-09
C2H5CO + H2 => C2H5CHO + H,6.93E-01,1.00E-09,1.00E-09
C2H5CHO + O => C2H5CO + OH,6.93E-01,1.00E-09,1.00E-09
C2H5CO + OH => C2H5CHO + O,6.93E-01,1.00E-09,1.00E-09
C2H5CHO + OH => C2H5CO + H2O,6.93E-01,1.00E-09,1.00E-09
C2H5CO + H2O => C2H5CHO + OH,6.93E-01,1.00E-09,1.00E-09
C2H5CHO + CH3 => C2H5CO + CH4,6.93E-01,1.00E-09,1.00E-09
C2H5CO + CH4 => C2H5CHO + CH3,6.93E-01,1.00E-09,1.00E-09
C2H5CHO + HO2 => C2H5CO + H2O2,6.93E-01,1.00E-09,1.00E-09
C2H5CO + H2O2 => C2H5CHO + HO2,6.93E-01,1.00E-09,1.00E-09
C2H5CHO + CH3O => C2H5CO + CH3OH,6.93E-01,1.00E-09,1.00E-09
C2H5CO + CH3OH => C2H5CHO + CH3O,6.93E-01,1.00E-09,1.00E-09
C2H5CHO + CH3O2 => C2H5CO + CH3O2H,6.93E-01,1.00E-09,1.00E-09
C2H5CO + CH3O2H => C2H5CHO + CH3O2,6.93E-01,1.00E-09,1.00E-09
C2H5 + C2H5CHO => C2H5CO + C2H6,6.93E-01,1.00E-09,1.00E-09
C2H5CO + C2H6 => C2H5 + C2H5CHO,6.93E-01,1.00E-09,1.00E-09
C2H5CHO + C2H5O => C2H5CO + C2H5OH,6.93E-01,1.00E-09,1.00E-09
C2H5CO + C2H5OH => C2H5CHO + C2H5O,6.93E-01,1.00E-09,1.00E-09
C2H5CHO + C2H5O2 => C2H5CO + C2H5O2H,6.93E-01,1.00E-09,1.00E-09
C2H5CO + C2H5O2H => C2H5CHO + C2H5O2,6.93E-01,1.00E-09,1.00E-09
C2H5CHO + O2 => C2H5CO + HO2,6.93E-01,1.00E-09,1.00E-09
C2H5CO + HO2 => C2H5CHO + O2,6.93E-01,1.00E-09,1.00E-09
C2H5CHO + CH3CO3 => C2H5CO + CH3CO3H,6.93E-01,1.00E-09,1.00E-09
C2H5CO + CH3CO3H => C2H5CHO + CH3CO3,6.93E-01,1.00E-09,1.00E-09
C2H3 + C2H5CHO => C2H4 + C2H5CO,6.93E-01,1.00E-09,1.00E-09
C2H4 + C2H5CO => C2H3 + C2H5CHO,6.93E-01,1.00E-09,1.00E-09
C2H5CO => C2H5 + CO,6.93E-01,1.00E-09,1.00E-09
C2H5 + CO => C2H5CO,6.93E-01,1.00E-09,1.00E-09
CH3OCH3 (+M) <=> CH3 + CH3O (+M),6.93E-01,1.00E-09,1.00E-09
CH3OCH3 + OH => CH3OCH2 + H2O,6.93E-01,1.00E-09,1.00E-09
CH3OCH2 + H2O => CH3OCH3 + OH,6.93E-01,1.00E-09,1.00E-09
CH3OCH3 + H => CH3OCH2 + H2,6.93E-01,1.00E-09,1.00E-09
CH3OCH2 + H2 => CH3OCH3 + H,6.93E-01,1.00E-09,1.00E-09
CH3OCH3 + O => CH3OCH2 + OH,6.93E-01,1.00E-09,1.00E-09
CH3OCH2 + OH => CH3OCH3 + O,6.93E-01,1.00E-09,1.00E-09
CH3OCH3 + HO2 => CH3OCH2 + H2O2,6.93E-01,1.00E-09,1.00E-09
CH3OCH2 + H2O2 => CH3OCH3 + HO2,6.93E-01,1.00E-09,1.00E-09
CH3O2 + CH3OCH3 => CH3O2H + CH3OCH2,6.93E-01,1.00E-09,1.00E-09
CH3O2H + CH3OCH2 => CH3O2 + CH3OCH3,6.93E-01,1.00E-09,1.00E-09
CH3 + CH3OCH3 => CH3OCH2 + CH4,6.93E-01,1.00E-09,1.00E-09
CH3OCH2 + CH4 => CH3 + CH3OCH3,6.93E-01,1.00E-09,1.00E-09
CH3OCH3 + O2 => CH3OCH2 + HO2,6.93E-01,1.00E-09,1.00E-09
CH3OCH2 + HO2 => CH3OCH3 + O2,6.93E-01,1.00E-09,1.00E-09
CH3O + CH3OCH3 => CH3OCH2 + CH3OH,6.93E-01,1.00E-09,1.00E-09
CH3OCH2 + CH3OH => CH3O + CH3OCH3,6.93E-01,1.00E-09,1.00E-09
CH3OCH2O2 + CH3OCH3 => CH3OCH2 + CH3OCH2O2H,6.93E-01,1.00E-09,1.00E-09
CH3OCH2 + CH3OCH2O2H => CH3OCH2O2 + CH3OCH3,6.93E-01,1.00E-09,1.00E-09
CH3OCH3 + O2CHO => CH3OCH2 + HO2CHO,6.93E-01,1.00E-09,1.00E-09
CH3OCH2 + HO2CHO => CH3OCH3 + O2CHO,6.93E-01,1.00E-09,1.00E-09
CH3OCH3 + OCHO => CH3OCH2 + HOCHO,6.93E-01,1.00E-09,1.00E-09
CH3OCH2 + HOCHO => CH3OCH3 + OCHO,6.93E-01,1.00E-09,1.00E-09
CH3OCH2 => CH2O + CH3,6.93E-01,1.00E-09,1.00E-09
CH2O + CH3 => CH3OCH2,6.93E-01,1.00E-09,1.00E-09
CH3O + CH3OCH2 => CH2O + CH3OCH3,6.93E-01,1.00E-09,1.00E-09
CH2O + CH3OCH3 => CH3O + CH3OCH2,6.93E-01,1.00E-09,1.00E-09
