Time,H2O_ppm
0.0007128249419698412, 3.7727658896333196
0.0008134876196756837, 7.515411175087138
0.0009141035143154584, 15.679056203979599
0.001014614703997842, 33.73731970628842
0.0011148864089372582, 74.42689141906749
0.0012051908964716012, 150.6979661504979
0.0012712958691795545, 248.02183757397188
0.0013158660430601123, 341.1629792246872
0.001350863535832617, 432.6019438257149
0.0013810085386183914, 529.4409412923792
0.001408727505263774, 628.9602185858653
0.001434074570459501, 726.0440474316201
0.0014570590908187869, 819.8082278809552
0.0014799921498053973, 918.4355080480757
0.0015028784257259396, 1021.4837879586369
0.0015258021280993366, 1120.995268074445
0.001548758578618981, 1217.412048369845
0.001574066657926318, 1318.180043668467
0.0015994199608641878, 1414.674405881763
0.0016271977405069133, 1508.6358549263527
0.0016620958192640233, 1609.4694439821913
0.0017018675981876178, 1702.8986381855343
0.0017560115712780065, 1797.6362962679711
0.00183897465565473, 1887.9295630739332
0.0019390625699774492, 1945.9873480645156
0.00203947462411507, 1973.4139205469723
0.002140032596863522, 1987.0511843058403
0.0022047218814692654, 1991.5774459479344
