Time,O_ppm,Relative_Uncertainty,W
2.182371323370863e-14,0.6719986557633835,0.1,0.012628920507068042
2.1825895605032003e-10,0.6719962627268918,0.1,0.012628920507068042
2.4006302794211835e-09,0.6719723329303897,0.1,0.012628920507068042
4.5830016027920465e-09,0.6719484038917561,0.1,0.012628920507068042
9.46270808350389e-09,0.6718949024498235,0.1,0.012628920507068042
1.850042038323769e-08,0.6717958235429591,0.1,0.012628920507068042
3.4582213038899713e-08,0.6716195576582056,0.1,0.012628920507068042
6.287253352699564e-08,0.6713095913574227,0.1,0.012628920507068042
1.1371900735140746e-07,0.6707528454803025,0.1,0.012628920507068042
2.2818386202793605e-07,0.669501196329874,0.1,0.012628920507068042
3.4264871670446466e-07,0.6682518836397993,0.1,0.012628920507068042
4.571135713809933e-07,0.6670049033323124,0.1,0.012628920507068042
5.715784260575218e-07,0.6657602511467402,0.1,0.012628920507068042
7.82553710374464e-07,0.6634722618088538,0.1,0.012628920507068042
9.935289946914061e-07,0.6611921410428219,0.1,0.012628920507068042
1.2045042790083482e-06,0.6589198619805587,0.1,0.012628920507068042
1.4154795633252902e-06,0.6566553968800285,0.1,0.012628920507068042
1.6264548476422323e-06,0.6543987183385757,0.1,0.012628920507068042
2.0086754484326477e-06,0.6503300745379312,0.1,0.012628920507068042
2.5962328295756756e-06,0.6441249763156779,0.1,0.012628920507068042
3.1837902107187034e-06,0.6379791168851444,0.1,0.012628920507068042
3.7713475918617312e-06,0.631891928409443,0.1,0.012628920507068042
4.358904973004759e-06,0.6258628504947686,0.1,0.012628920507068042
4.9464623541477865e-06,0.6198913291750291,0.1,0.012628920507068042
5.534019735290814e-06,0.6139768155053319,0.1,0.012628920507068042
6.121577116433842e-06,0.6081187652192205,0.1,0.012628920507068042
7.162017390495832e-06,0.5978822516828189,0.1,0.012628920507068042
8.20245766455782e-06,0.5878181472551235,0.1,0.012628920507068042
9.24289793861981e-06,0.5779235469163562,0.1,0.012628920507068042
1.02833382126818e-05,0.5681955950672483,0.1,0.012628920507068042
1.2219346744569673e-05,0.5505281894073364,0.1,0.012628920507068042
1.4155355276457546e-05,0.5334104480657587,0.1,0.012628920507068042
1.609136380834542e-05,0.5168252676440517,0.1,0.012628920507068042
1.8027372340233294e-05,0.500756076525723,0.1,0.012628920507068042
1.9963380872121167e-05,0.4851868177395898,0.1,0.012628920507068042
2.189938940400904e-05,0.4701019338299072,0.1,0.012628920507068042
2.3835397935896913e-05,0.4554863519092032,0.1,0.012628920507068042
2.5771406467784785e-05,0.44132546858463356,0.1,0.012628920507068042
2.8337151837042925e-05,0.42323489447261636,0.1,0.012628920507068042
3.0902897206301065e-05,0.40588638374588953,0.1,0.012628920507068042
3.34686425755592e-05,0.3892494944308277,0.1,0.012628920507068042
3.603438794481734e-05,0.3732950315781323,0.1,0.012628920507068042
3.8600133314075473e-05,0.3579949961929026,0.1,0.012628920507068042
4.116587868333361e-05,0.3433225388094947,0.1,0.012628920507068042
4.3731624052591746e-05,0.3292519133929585,0.1,0.012628920507068042
4.8378757397772744e-05,0.30521989555691087,0.1,0.012628920507068042
5.302589074295374e-05,0.28294346799644937,0.1,0.012628920507068042
5.6468109687570945e-05,0.2674987988836489,0.1,0.012628920507068042
5.991032863218814e-05,0.2528980052916443,0.1,0.012628920507068042
6.335254757680534e-05,0.23909497588648843,0.1,0.012628920507068042
6.947644915518852e-05,0.21637643302260606,0.1,0.012628920507068042
7.322071941064749e-05,0.20356408044303262,0.1,0.012628920507068042
7.696498966610646e-05,0.19151132451610867,0.1,0.012628920507068042
8.070925992156543e-05,0.18017313141510807,0.1,0.012628920507068042
8.44535301770244e-05,0.16950713697441863,0.1,0.012628920507068042
8.819780043248338e-05,0.1594734854800843,0.1,0.012628920507068042
9.194207068794235e-05,0.1500346834571928,0.1,0.012628920507068042
