temperature,tau_s
939,0.005051
967,0.002547
1022,0.001193
1026,0.001202
1088,0.000637
1128,0.000553
1163,0.000469
1267,0.000279
1371,0.000157
1445,0.000125
1498,0.000105
1566,0.000113
1670,0.000065
1688,0.00008
1747,0.000066
1804,0.000052
1998,0.000028
2087,0.000029
2109,0.000024
