temperature,tau_s
935,0.005945
958,0.004575
963,0.004119
974,0.003814
986,0.002751
1005,0.001914
1012,0.001312
1026,0.000784
1044,0.000567
1069,0.000368
1075,0.000225
1080,0.000292
1125,0.000163
1143,0.000146
1173,0.000119
1183,0.000112
1225,0.000082
1276,0.000057
1360,0.000035
