temperature,tau_s
1006,0.004713
1019,0.003078
1025,0.002537
1029,0.00236
1037,0.002347
1051,0.001607
1060,0.001166
1069,0.000555
1081,0.000329
1116,0.000189
1173,0.000085
1216,0.000062
1257,0.000049
