temperature,tau_s
947,0.00668
964,0.00549
987,0.00477
1006,0.003
1028,0.0023
1052,0.00154
1064,0.00117
1083,0.000762
1094,0.000695
1100,0.000534
1149,0.0002
1173,0.000084
1177,0.00008
1204,0.000046
1208,0.000038
1227,0.000024
