temperature,tau_s
1037,0.005471
1041,0.005361
1077,0.003079
1087,0.002435
1109,0.001561
1111,0.001363
1136,0.000581
1141,0.000967
1142,0.000427
1170,0.000156
1180,0.000095
1183,0.000107
1255,0.000031
