temperature,tau_s
1278.684742,6.39E-05
1320.607458,3.96E-05
1346.683111,1.72E-05
1365.612033,7.25E-06
1370.992433,1.07E-05
1464.818517,4.87E-06
1483.956056,2.77E-06
1828.13125,1.43E-06
