temperature,tau_s
967,0.004554
977,0.003451
990,0.002309
993,0.002295
997,0.002141
1002,0.000246
1012,0.001066
1015,0.001047
1017,0.000928
1039,0.000524
1061,0.000401
1074,0.000346
1107,0.000286
1123,0.0002
1171,0.000143
1178,0.000134
1210,0.000117
1260,0.000079
1327,0.000052
1463,0.000034
