temperature,tau_s
2198.151678,7.77E-07
2245.721176,8.48E-07
2271.619785,8.68E-07
2292.624514,8.13E-07
2338.920131,7.19E-07
2404.44553,9.94E-07
2413.000173,6.68E-07
2455.238073,1.38E-06
2464.225229,8.80E-07
2511.549277,8.61E-07
2543.702425,1.57E-06
2590.558308,9.72E-07
2628.412189,1.14E-06
2631.880753,1.43E-06
2681.915751,1.40E-06
2791.882357,1.81E-06
