Time,OH_ppm
1.38737E-05,2.523853993
1.76186E-05,5.098552857
2.13631E-05,8.84816719
2.51065E-05,15.95468286
2.88492E-05,25.41102947
3.25902E-05,39.81880555
3.61251E-05,59.36410793
3.92736E-05,80.85079232
4.12532E-05,101.1457804
4.2949E-05,121.7197508
4.45119E-05,143.7409371
4.59986E-05,167.4627975
4.73289E-05,190.0538285
4.83677E-05,211.4105967
4.92126E-05,230.975218
5.03724E-05,254.1246573
5.13542E-05,276.4709202
5.23039E-05,297.6305115
5.34938E-05,327.8952831
5.44491E-05,356.5315813
5.54048E-05,384.0908737
5.64312E-05,412.4830539
5.71472E-05,435.5180896
5.78215E-05,455.6685939
5.85685E-05,477.0525779
5.92414E-05,501.4786593
6.02054E-05,528.4261248
6.08542E-05,552.3890626
6.15283E-05,573.4969054
6.2457E-05,596.7227351
6.29487E-05,617.7867074
6.42292E-05,643.8622383
6.53361E-05,671.8602822
6.59489E-05,695.1357593
6.69473E-05,719.2329483
6.76017E-05,742.7158958
6.84881E-05,765.2689025
7.00547E-05,790.5287653
7.10406E-05,812.5233237
7.20552E-05,833.5432444
7.30142E-05,850.9735532
7.43695E-05,871.5807406
7.55808E-05,898.4971239
7.71604E-05,927.2571538
7.89405E-05,950.3230121
8.06749E-05,968.7734706
8.33539E-05,990.8071557
8.67526E-05,1010.830862
9.04934E-05,1025.658251
9.42356E-05,1036.373436
9.79789E-05,1043.899564
0.000101723,1048.404481
0.000105468,1050.64349
0.000109213,1053.134266
0.000112958,1054.785817
0.000116704,1056.185601
0.000120449,1056.158701
0.000124195,1057.642407
0.00012794,1057.783352
0.000131686,1058.427833
0.000135432,1059.156236
0.000139177,1059.129336
0.000142923,1059.438127
0.000146669,1059.83084
0.000150415,1059.048637
0.00015416,1059.609195
0.000157906,1059.414451
0.000161652,1059.555396
0.000165398,1059.360651
0.000169144,1059.165906
0.000172889,1058.803317
0.000176635,1058.86034
0.000180381,1058.581672
0.000184127,1058.722618
0.000187873,1058.695718
0.000191618,1058.417051
0.000195364,1058.222306
0.00019911,1057.524026
0.000202856,1057.413204
0.000206602,1057.302382
0.000210348,1057.023714
0.000214093,1056.996815
0.000217839,1056.634225
0.000221585,1056.77517
0.000225331,1056.580425
0.000229077,1056.805293
0.000232823,1055.687401
0.000236569,1055.492656
0.000240314,1055.297911
0.00024406,1055.438857
0.000247806,1055.244112
0.000251552,1055.552902
0.000255297,1056.029538
0.000259043,1056.422251
0.000262789,1056.227506
0.000266534,1056.536297
0.000270281,1055.334482
0.000274026,1055.475427
0.000277772,1054.777147
0.000281518,1055.085937
0.000285264,1054.80727
0.00028901,1055.116061
0.000292755,1054.753471
0.000296501,1054.306959
0.000299566,1054.548706
