Time,O_mol/cm^3
0.000195361,4.94014E-13
0.00021775,3.66738E-13
0.000289062,9.51453E-13
0.00030247,9.50749E-13
0.000331521,9.49222E-13
0.000400598,1.53405E-12
0.000436324,1.61624E-12
0.000485204,2.45433E-12
0.000500748,2.74775E-12
0.000543207,2.74552E-12
0.000627771,3.7919E-12
0.000647741,4.21118E-12
0.000716889,4.58584E-12
