Time,CH3_ppm
4.39054E-06,541.6666667
5.01797E-06,540.2777778
7.53347E-06,529.1666667
8.1667E-06,522.2222222
8.80137E-06,513.8888889
9.43314E-06,508.3333333
9.44329E-06,498.6111111
1.07054E-05,488.8888889
1.1343E-05,477.7777778
1.13516E-05,469.4444444
1.32542E-05,445.8333333
1.32644E-05,436.1111111
1.32745E-05,426.3888889
1.58002E-05,405.5555556
1.7068E-05,390.2777778
1.83142E-05,395.8333333
2.01849E-05,402.7777778
2.14311E-05,408.3333333
2.26758E-05,415.2777778
2.95325E-05,443.0555556
3.07787E-05,448.6111111
3.20205E-05,458.3333333
3.51519E-05,456.9444444
3.64183E-05,443.0555556
3.76761E-05,437.5
3.8302E-05,437.5
3.8302E-05,437.5
4.08262E-05,418.0555556
4.20854E-05,411.1111111
4.39706E-05,404.1666667
4.58558E-05,397.2222222
4.83655E-05,391.6666667
5.08767E-05,384.7222222
5.33849E-05,380.5555556
5.77668E-05,380.5555556
5.96346E-05,390.2777778
6.15052E-05,397.2222222
6.40034E-05,402.7777778
6.77534E-05,408.3333333
7.08775E-05,413.8888889
7.52594E-05,413.8888889
7.83936E-05,409.7222222
8.15293E-05,404.1666667
8.40419E-05,395.8333333
8.7179E-05,388.8888889
8.90628E-05,383.3333333
9.0948E-05,376.3888889
9.40865E-05,368.0555556
9.78468E-05,363.8888889
0.000101597,369.4444444
0.000103465,379.1666667
0.000104709,386.1111111
0.000107202,397.2222222
0.000108442,408.3333333
0.000110931,422.2222222
0.00011344,418.0555556
0.000115328,408.3333333
0.000116632,358.3333333
0.000117217,397.2222222
0.000117229,386.1111111
0.000117242,373.6111111
0.0001179,343.0555556
0.000119797,325
0.000122303,322.2222222
0.000124794,334.7222222
0.000126661,345.8333333
0.000128527,356.9444444
0.00012914,369.4444444
0.00013226,379.1666667
0.000134139,377.7777778
0.000134779,363.8888889
0.000137921,352.7777778
0.000138559,341.6666667
0.000139821,331.9444444
0.000141074,330.5555556
0.000142316,340.2777778
0.000143556,351.3888889
0.000145424,361.1111111
0.000146672,365.2777778
0.000149797,369.4444444
0.000154188,361.1111111
0.000156697,355.5555556
0.000157954,351.3888889
0.000160469,340.2777778
0.000161723,338.8888889
0.000167977,344.4444444
0.00016859,356.9444444
0.000170466,358.3333333
0.000172351,351.3888889
0.000173612,343.0555556
0.000175498,334.7222222
0.000178015,322.2222222
0.000178649,315.2777778
0.000179282,308.3333333
0.000181792,302.7777778
0.000184919,305.5555556
0.000187417,311.1111111
0.000189913,318.0555556
0.000193035,326.3888889
0.000195531,333.3333333
0.000198658,336.1111111
0.000204293,334.7222222
0.000206805,327.7777778
0.000207438,320.8333333
0.000208071,313.8888889
0.000209959,304.1666667
0.000211847,294.4444444
0.000214364,281.9444444
0.000216252,272.2222222
0.00021688,270.8333333
0.000220624,281.9444444
0.000223702,331.9444444
0.000223729,305.5555556
0.000223739,295.8333333
0.000224335,325
0.000226833,330.5555556
0.000228097,319.4444444
0.000229357,311.1111111
0.000230616,304.1666667
0.00023125,297.2222222
0.000232515,284.7222222
0.000233142,283.3333333
0.000233772,279.1666667
0.000236285,270.8333333
0.000237544,263.8888889
0.000238175,259.7222222
0.000239438,248.6111111
0.00024133,234.7222222
0.000242587,230.5555556
0.000242593,225
0.000245076,244.4444444
0.000245692,254.1666667
0.000245694,252.7777778
0.000245696,250
0.000247545,277.7777778
0.000247551,272.2222222
0.000248787,287.5
0.000249404,295.8333333
0.000251898,305.5555556
0.000253783,298.6111111
0.00025505,284.7222222
0.000256312,275
0.000258812,279.1666667
0.000259427,288.8888889
0.000260658,309.7222222
0.000261291,302.7777778
0.000264418,305.5555556
0.000265055,294.4444444
0.000265687,288.8888889
0.000266326,276.3888889
0.000266964,265.2777778
0.00026823,251.3888889
0.000269495,238.8888889
0.000270757,229.1666667
0.000273881,234.7222222
0.000274499,243.0555556
0.000276381,238.8888889
0.000277623,248.6111111
0.000278244,252.7777778
0.00028388,251.3888889
0.00028512,262.5
0.000286365,269.4444444
0.000286982,277.7777778
0.000288237,275
0.000293256,263.8888889
0.000294517,255.5555556
0.00029577,254.1666667
0.000298894,259.7222222
0.000300158,248.6111111
0.000302036,248.6111111
0.000306425,241.6666667
0.000307061,231.9444444
0.000308943,227.7777778
0.000313346,208.3333333
0.000315229,202.7777778
0.000318346,215.2777778
0.00032021,229.1666667
0.000320217,222.2222222
0.000321435,254.1666667
0.000322053,262.5
0.000323934,259.7222222
0.000326456,241.6666667
0.000326475,223.6111111
0.000326485,213.8888889
0.000328378,200
0.000329631,198.6111111
0.000331502,205.5555556
0.000332749,209.7222222
0.000334619,218.0555556
0.000335865,223.6111111
0.000337109,230.5555556
0.000337727,238.8888889
0.000339599,244.4444444
0.000340852,243.0555556
0.000343371,229.1666667
0.000344634,218.0555556
0.000346519,211.1111111
0.000347148,208.3333333
0.0003509,212.5
0.000354022,219.4444444
0.000356513,231.9444444
0.000357135,236.1111111
0.000361514,238.8888889
0.000364022,234.7222222
0.000365279,230.5555556
0.000366535,226.3888889
0.000366584,179.1666667
0.000367794,219.4444444
0.000367806,208.3333333
0.000369069,197.2222222
0.000369107,161.1111111
0.000369707,186.1111111
0.00037034,179.1666667
0.000371615,156.9444444
0.000372231,166.6666667
0.000373484,165.2777778
0.000373494,155.5555556
0.000373496,154.1666667
0.000374109,166.6666667
0.000375354,173.6111111
0.000377843,187.5
0.00037785,180.5555556
0.000379088,194.4444444
0.000379725,183.3333333
0.000380345,188.8888889
0.000380963,197.2222222
0.000384706,209.7222222
0.000386579,213.8888889
0.000389699,223.6111111
0.000395966,216.6666667
0.000395966,216.6666667
0.000397203,230.5555556
0.000397834,226.3888889
0.000399083,229.1666667
