Time,OH_ppm,W
-8.73E-06,7.883645908,1.00E-09
-3.04E-06,9.964614166,1.00E-09
-2.77E-06,30.98882378,1.00E-09
-1.21E-06,41.84987159,1.00E-09
-1.68E-07,47.25481,1.00E-09
2.00E-06,52.88358102,1.00E-09
5.00E-06,56.86375916,0.095346259
8.33E-06,54.78035307,0.095346259
1.25E-05,51.59503,0.095346259
1.60E-05,48.78599956,0.095346259
2.05E-05,46.8411222,0.095346259
2.71E-05,43.42307357,0.095346259
3.19E-05,40.39356085,0.095346259
3.87E-05,37.69576183,0.095346259
4.50E-05,35.33294159,0.095346259
5.06E-05,32.54074804,0.095346259
5.69E-05,30.77603002,0.095346259
6.20E-05,28.13723062,0.095346259
6.84E-05,26.45450073,0.095346259
7.83E-05,24.06829871,0.095346259
8.62E-05,22.16038238,0.095346259
9.54E-05,19.77922299,0.095346259
0.000104366,18.64324528,0.095346259
0.000112124,17.07075856,0.095346259
0.000123093,15.03301834,0.095346259
0.000134406,13.92808053,0.095346259
0.000136387,12.60298035,0.095346259
0.000144627,11.88946628,0.095346259
0.000159031,10.93881949,0.095346259
0.000169996,9.919707782,0.095346259
0.000179471,8.891908163,0.095346259
0.000190023,8.111482322,0.095346259
0.000199963,6.644703102,0.095346259
0.000211608,5.790040139,0.095346259
0.00022264,6.230181125,0.095346259
0.000234391,5.08016707,0.095346259
0.000246876,5.081373651,0.095346259
0.000257884,4.872120212,0.095346259
0.000268991,4.375377506,0.095346259
0.000272247,3.197333337,0.095346259
0.000284762,3.918138477,0.095346259
0.000296374,3.078974506,0.095346259
0.000305245,3.141200185,0.095346259
0.000311278,4.304752863,0.095346259
0.000321605,3.032769523,0.095346259
0.000332642,2.376294622,0.095346259
0.000344656,2.119473138,0.095346259
0.000356136,1.912859561,0.095346259
0.000367883,1.708108328,0.095346259
0.000379468,0.890611059,0.095346259
0.000383194,0.311077928,0.095346259
0.000393182,0.687968734,0.095346259
0.000405931,0.18264463,0.095346259
0.000417414,1.710979686,0.095346259
0.000428839,1.667662113,0.095346259
0.000440941,1.536200245,0.095346259
0.000455068,1.979160621,0.095346259
0.000463822,2.034012971,0.095346259
0.000473432,2.165268951,0.095346259
0.000482767,0.933033152,0.095346259
0.00049389,1.096575981,0.095346259
