Time,O_ppm
2.22E-14,0.690998618
2.22E-10,0.690996859
2.44E-09,0.690979275
6.57E-09,0.690946602
1.40E-08,0.690887552
2.71E-08,0.690783742
5.00E-08,0.690602766
8.99E-08,0.69028685
1.61E-07,0.689721059
3.22E-07,0.688455525
4.82E-07,0.687192314
6.42E-07,0.685931422
8.02E-07,0.684672845
1.10E-06,0.682346821
1.40E-06,0.680028706
1.69E-06,0.677718471
1.99E-06,0.675416091
2.29E-06,0.673121536
2.83E-06,0.668961243
3.67E-06,0.66256626
4.50E-06,0.656232445
5.34E-06,0.649959212
6.18E-06,0.64374598
7.02E-06,0.637592176
7.86E-06,0.631497232
8.70E-06,0.625460585
1.02E-05,0.615080635
1.16E-05,0.604873047
1.31E-05,0.594834958
1.45E-05,0.584963554
1.73E-05,0.566947747
2.00E-05,0.549487124
2.27E-05,0.532564574
2.55E-05,0.516163514
2.82E-05,0.500267869
3.09E-05,0.484862061
3.36E-05,0.469930991
3.64E-05,0.455460027
4.00E-05,0.436942072
4.36E-05,0.419177546
4.72E-05,0.402135794
5.09E-05,0.385787402
5.45E-05,0.370104155
5.81E-05,0.355058984
6.17E-05,0.340625927
6.83E-05,0.3157952
7.51E-05,0.292360676
8.00E-05,0.276390691
8.49E-05,0.261293939
8.98E-05,0.247022668
9.78E-05,0.22542049
0.000103033,0.212263161
0.000108286,0.199874784
0.000113538,0.188210418
0.000118791,0.17722775
0.000124044,0.166886935
0.000129296,0.157150458
0.000134549,0.147982997
