Time,H_mol/cm^3
4.26652E-05,2.83152E-13
8.31423E-05,2.96023E-13
0.00012835,3.08893E-13
0.000177783,3.86117E-13
0.000220375,4.37599E-13
0.000264527,4.37599E-13
0.000319718,4.37599E-13
0.000360199,4.6334E-13
0.000385951,4.5047E-13
