Time,CO_ppm,Relative_Uncertaint,W
2.41581E-05,52.30061077,.05,1e-10
3.55783E-05,83.57562086,.05,1e-10
5.49048E-05,116.9851633,.05,.333
7.77452E-05,156.6582338,.05,.333
0.000100146,198.4079819,.05,.333
0.000124744,233.9337869,.05,.333
0.00015593,267.4255438,.05,.333
0.000174817,296.6725959,.05,.333
0.000198097,315.5514843,.05,.333
0.000223133,342.7614434,.05,.333
0.000249488,365.8210921,.05,.333
0.000278917,378.5034421,.05,.333
