Time,CO_ppm,Relative_Uncertainty,W
7.759999999999999e-05,14,0.05,0.020336296
7.8e-05,16,0.05,0.020336296
7.840000000000001e-05,11,0.05,0.020336296
7.879999999999999e-05,13,0.05,0.020336296
7.92e-05,14,0.05,0.020336296
7.96e-05,11,0.05,0.020336296
8e-05,16,0.05,0.020336296
8.04e-05,11,0.05,0.020336296
8.08e-05,8,0.05,0.020336296
8.120000000000001e-05,16,0.05,0.020336296
8.159999999999999e-05,19,0.05,0.020336296
8.2e-05,8,0.05,0.020336296
8.240000000000001e-05,16,0.05,0.020336296
8.28e-05,14,0.05,0.020336296
8.32e-05,14,0.05,0.020336296
8.36e-05,14,0.05,0.020336296
8.4e-05,19,0.05,0.020336296
8.44e-05,16,0.05,0.020336296
8.48e-05,16,0.05,0.020336296
8.52e-05,17,0.05,0.020336296
8.56e-05,13,0.05,0.020336296
8.6e-05,14,0.05,0.020336296
8.640000000000001e-05,19,0.05,0.020336296
8.68e-05,13,0.05,0.020336296
8.72e-05,13,0.05,0.020336296
8.759999999999999e-05,11,0.05,0.020336296
8.8e-05,9,0.05,0.020336296
8.840000000000001e-05,17,0.05,0.020336296
8.88e-05,14,0.05,0.020336296
8.92e-05,16,0.05,0.020336296
8.96e-05,24,0.05,0.020336296
9e-05,16,0.05,0.020336296
9.04e-05,19,0.05,0.020336296
9.08e-05,17,0.05,0.020336296
9.120000000000001e-05,22,0.05,0.020336296
9.159999999999999e-05,16,0.05,0.020336296
9.2e-05,22,0.05,0.020336296
9.240000000000001e-05,16,0.05,0.020336296
9.279999999999999e-05,17,0.05,0.020336296
9.32e-05,24,0.05,0.020336296
9.36e-05,13,0.05,0.020336296
9.4e-05,22,0.05,0.020336296
9.44e-05,14,0.05,0.020336296
9.48e-05,19,0.05,0.020336296
9.520000000000001e-05,16,0.05,0.020336296
9.559999999999999e-05,17,0.05,0.020336296
9.6e-05,21,0.05,0.020336296
9.640000000000001e-05,22,0.05,0.020336296
9.68e-05,11,0.05,0.020336296
9.719999999999999e-05,24,0.05,0.020336296
9.76e-05,19,0.05,0.020336296
9.8e-05,21,0.05,0.020336296
9.84e-05,14,0.05,0.020336296
9.88e-05,17,0.05,0.020336296
9.92e-05,19,0.05,0.020336296
9.96e-05,22,0.05,0.020336296
0.0001,19,0.05,0.020336296
0.0001004,19,0.05,0.020336296
0.0001008,14,0.05,0.020336296
0.00010120000000000001,22,0.05,0.020336296
0.0001016,21,0.05,0.020336296
0.000102,22,0.05,0.020336296
0.0001024,19,0.05,0.020336296
0.0001028,17,0.05,0.020336296
0.0001032,16,0.05,0.020336296
0.0001036,19,0.05,0.020336296
0.00010400000000000001,14,0.05,0.020336296
0.0001044,26,0.05,0.020336296
0.0001048,17,0.05,0.020336296
0.00010520000000000001,17,0.05,0.020336296
0.0001056,19,0.05,0.020336296
0.000106,27,0.05,0.020336296
0.00010640000000000001,14,0.05,0.020336296
0.00010680000000000001,17,0.05,0.020336296
0.0001072,21,0.05,0.020336296
0.00010759999999999999,17,0.05,0.020336296
0.00010800000000000001,22,0.05,0.020336296
0.0001084,19,0.05,0.020336296
0.0001088,19,0.05,0.020336296
0.00010920000000000001,17,0.05,0.020336296
0.00010959999999999998,35,0.05,0.020336296
0.00011,19,0.05,0.020336296
0.00011040000000000001,27,0.05,0.020336296
0.00011079999999999998,27,0.05,0.020336296
0.0001112,16,0.05,0.020336296
0.00011159999999999999,21,0.05,0.020336296
0.00011200000000000001,21,0.05,0.020336296
0.00011240000000000001,17,0.05,0.020336296
0.00011279999999999999,22,0.05,0.020336296
0.00011320000000000001,21,0.05,0.020336296
0.0001136,26,0.05,0.020336296
0.00011399999999999999,16,0.05,0.020336296
0.00011440000000000002,22,0.05,0.020336296
0.00011479999999999999,17,0.05,0.020336296
0.00011520000000000001,19,0.05,0.020336296
0.00011559999999999999,24,0.05,0.020336296
0.00011599999999999999,22,0.05,0.020336296
0.00011640000000000001,27,0.05,0.020336296
0.00011679999999999999,22,0.05,0.020336296
0.00011719999999999999,22,0.05,0.020336296
0.0001176,21,0.05,0.020336296
0.000118,26,0.05,0.020336296
0.00011840000000000002,24,0.05,0.020336296
0.0001188,21,0.05,0.020336296
0.0001192,22,0.05,0.020336296
0.0001196,26,0.05,0.020336296
0.00011999999999999999,22,0.05,0.020336296
0.0001204,27,0.05,0.020336296
0.0001208,27,0.05,0.020336296
