Time,H_mol/cm^3,Relative_Uncertainty,W
2.65445E-05,4.02158E-13,.05,1e-10
3.28995E-05,5.40736E-13,.05,1e-10
3.92592E-05,7.06986E-13,.05,.3
4.38971E-05,9.00849E-13,.05,.3
5.08516E-05,1.17781E-12,.05,.3
5.72162E-05,1.37173E-12,.05,.3
6.47366E-05,1.59336E-12,.05,.3
6.93961E-05,1.91175E-12,.05,.3
7.98206E-05,2.28568E-12,.05,.3
9.66145E-05,2.8812E-12,.05,.3
0.000121473,3.51851E-12,.05,.3
0.00013996,3.92039E-12,.05,.3
0.000161929,4.48842E-12,.05,.3
0.000179828,4.8211E-12,.05,.3
