Time,OH_ppm
2.31164E-06,206.3510778
6.16438E-06,201.0808843
6.67808E-06,198.4964797
9.24658E-06,188.4867816
1.10445E-05,181.3121744
1.25856E-05,176.681473
1.5411E-05,165.6155547
1.69521E-05,157.2639623
1.90068E-05,147.414202
2.05479E-05,141.8029916
2.2089E-05,134.6522092
2.36301E-05,126.2186688
2.51712E-05,115.291623
2.64555E-05,108.0706753
2.85103E-05,101.3019902
3.08219E-05,94.95724149
3.31336E-05,87.86587226
3.57021E-05,83.43500852
3.59589E-05,82.36265485
3.75E-05,78.20930507
3.87842E-05,77.20411508
4.0839E-05,72.3686651
4.16096E-05,71.43854231
4.31507E-05,66.10354023
4.49486E-05,62.77009833
4.67466E-05,58.08245222
4.95719E-05,53.05411826
5.16267E-05,49.73123146
5.52226E-05,44.84204325
5.75342E-05,42.03349533
6.26712E-05,36.93309731
6.34418E-05,35.98982835
6.39555E-05,35.52726683
6.52397E-05,33.73571256
6.6524E-05,31.6227766
6.78082E-05,29.6421781
6.83219E-05,28.88511875
7.01199E-05,28.51387095
7.14041E-05,29.26120015
7.39726E-05,29.6421781
7.75685E-05,28.14739464
7.98801E-05,27.0759853
8.14212E-05,26.04535835
8.27055E-05,24.41408484
8.45034E-05,22.30050032
8.63014E-05,20.10808843
8.75856E-05,18.60642434
9.01541E-05,16.9956226
9.34932E-05,16.13857439
9.47774E-05,15.93115236
9.73459E-05,15.93115236
9.81164E-05,15.52427173
0.000100428,14.36492526
0.000100942,14.36492526
0.000104281,12.95267744
0.000108134,12.2995052
0.000110702,12.2995052
0.000111473,12.2995052
0.000113527,11.38098302
0.000113784,12.2995052
0.000115068,11.38098302
0.00011738,10.39570466
0.000118408,10.39570466
0.000119949,9.619357544
0.000119949,9.871474375
0.000124058,9.134276573
0.000126884,9.134276573
0.000129452,9.253203956
0.000132791,8.900987728
0.000135616,8.452132412
0.000138955,8.562178345
0.000141267,8.236265485
0.000142808,7.820930507
0.00014589,7.052037398
0.000148202,6.358735884
0.000149486,6.116695399
