Temperature,CO_ppm,W
600,100,1.00E-10
625,100,1.00E-10
650,100,1.00E-10
675,100,1.00E-10
700,100,1.00E-10
725,100,1.00E-10
750,100,1.00E-10
775,100,1.00E-10
800,109.1644205,0.447213595
825,1092.991914,0.447213595
850,1153.638814,0.447213595
875,1173.854447,0.447213595
900,1221.024259,0.447213595
