Time,HCO_ppm
1.07548E-06,30.60334177
2.29894E-06,28.2914632
4.36342E-06,24.43843031
6.58028E-06,20.58598576
9.02395E-06,17.66105783
1.31447E-05,14.27928458
1.65E-05,12.74783785
1.87883E-05,11.36671177
2.24484E-05,9.836441725
2.55736E-05,9.076307584
2.91563E-05,8.163499441
3.32718E-05,7.561628523
3.70065E-05,6.803847738
4.02836E-05,6.353179973
4.24934E-05,6.207271872
4.61517E-05,5.603635936
