Time,O_ppm
4.19E-14,0.93999812
4.19E-10,0.939997366
4.61E-09,0.939989822
1.98E-08,0.939962426
5.38E-08,0.93990118
1.18E-07,0.939784831
2.34E-07,0.939576208
4.39E-07,0.939208552
8.04E-07,0.938550902
1.58E-06,0.937157056
2.36E-06,0.93576528
3.13E-06,0.934375572
3.91E-06,0.932987927
5.45E-06,0.930230458
7.00E-06,0.927481142
8.54E-06,0.924739955
1.01E-05,0.922006872
1.16E-05,0.919281868
1.47E-05,0.913927079
2.03E-05,0.90418044
2.39E-05,0.89794437
2.75E-05,0.891751319
3.11E-05,0.88560099
3.47E-05,0.87949309
4.11E-05,0.868849506
4.74E-05,0.858334762
5.38E-05,0.847947299
6.39E-05,0.831638227
7.41E-05,0.815642916
8.42E-05,0.799955333
9.44E-05,0.784569558
0.000104495,0.769479784
0.000114634,0.754680316
0.000124773,0.740165567
0.000143523,0.714053223
0.000162274,0.688862363
0.000175197,0.67202134
0.000188119,0.655592171
0.000201041,0.639564783
0.000213964,0.62392935
0.000226886,0.608676286
0.000239808,0.59379624
0.00025273,0.579280091
0.000272486,0.557770767
0.000292242,0.537060406
0.000311998,0.517119335
0.000331754,0.49791898
0.00035151,0.479431825
0.000371265,0.461631376
0.000391021,0.444492126
0.000420736,0.419904312
0.000450451,0.396677281
0.000480166,0.374735721
0.000509881,0.35400849
0.000539595,0.33442838
0.00056931,0.315931905
0.000599025,0.298459094
0.00062874,0.281953292
0.000658455,0.266360983
0.00068817,0.251631609
0.000717884,0.237717413
0.000747599,0.22457328
0.000777314,0.212156592
0.000807029,0.200427089
