Time,NO_ppm
0.22893706798434338, 37.91855203619912
0.2648308025428198, 20
0.30724814701718345, 9.683257918552044
0.3745384892985038, 5.882352941176521
0.43276517780307006, 4.796380090497792
0.5217499930599894, 5.339366515837128
0.6291119562501735, 5.339366515837128
0.7395969241873248, 6.425339366515914
0.8469588873775089, 6.425339366515914
0.9573328151458791, 5.339366515837128
1.043305665824612, 6.968325791855193
1.172251061821614, 9.140271493212708
1.2581406323737612, 9.140271493212708
1.3747328095938705, 9.683257918552044
1.4883685423201842, 12.398190045248896
1.5742581128723314, 12.398190045248896
1.6941676151347749, 17.82805429864254
1.7986008938733589, 20.542986425339336
1.9062682175276908, 26.515837104072375

