Time,OH_ppm,Relative_Uncertainty,W
0.0003868,1,0.05,1.00E-10
0.0003884,1.2,0.05,1.00E-10
0.00039,1,0.05,1.00E-10
0.0003916,1.1,0.05,1.00E-10
0.0003932,1,0.05,1.00E-10
0.0003948,0.7,0.05,1.00E-10
0.0003964,1,0.05,1.00E-10
0.000398,0.2,0.05,1.00E-10
0.0003996,0.7,0.05,1.00E-10
0.0004012,0.8,0.05,1.00E-10
0.0004028,0.7,0.05,1.00E-10
0.0004044,0.8,0.05,1.00E-10
0.000406,0.6,0.05,1.00E-10
0.0004076,0.8,0.05,1.00E-10
0.0004092,0.9,0.05,1.00E-10
0.0004108,1.2,0.05,1.00E-10
0.0004124,1,0.05,1.00E-10
0.000414,0.9,0.05,1.00E-10
0.0004156,1.1,0.05,1.00E-10
0.0004172,0.8,0.05,1.00E-10
0.0004188,0.7,0.05,1.00E-10
0.0004204,0.6,0.05,1.00E-10
0.000422,0.9,0.05,1.00E-10
0.0004236,0.7,0.05,1.00E-10
0.0004252,0.5,0.05,1.00E-10
0.0004268,0.6,0.05,1.00E-10
0.0004284,0.7,0.05,1.00E-10
0.00043,0.8,0.05,1.00E-10
0.0004316,1.3,0.05,1.00E-10
0.0004332,0.8,0.05,1.00E-10
0.0004348,1.2,0.05,1.00E-10
0.0004364,1.1,0.05,1.00E-10
0.000438,0.9,0.05,1.00E-10
0.0004396,1,0.05,1.00E-10
0.0004412,1,0.05,1.00E-10
0.0004428,0.7,0.05,1.00E-10
0.0004444,0.9,0.05,1.00E-10
0.000446,1,0.05,1.00E-10
0.0004476,1,0.05,1.00E-10
0.0004492,0.8,0.05,1.00E-10
0.0004508,1.2,0.05,1.00E-10
0.0004524,1.1,0.05,1.00E-10
0.000454,1.1,0.05,1.00E-10
0.0004556,1.1,0.05,1.00E-10
0.0004572,1.2,0.05,1.00E-10
0.0004588,1,0.05,1.00E-10
0.0004604,1.1,0.05,1.00E-10
0.000462,1.1,0.05,1.00E-10
0.0004636,1.6,0.05,1.00E-10
0.0004652,1.1,0.05,1.00E-10
0.0004668,1.2,0.05,1.00E-10
0.0004684,1,0.05,1.00E-10
0.00047,1.1,0.05,1.00E-10
0.0004716,1.3,0.05,1.00E-10
0.0004732,1.5,0.05,1.00E-10
0.0004748,1.3,0.05,1.00E-10
0.0004764,1.6,0.05,1.00E-10
0.000478,1.3,0.05,1.00E-10
0.0004796,1.6,0.05,1.00E-10
0.0004812,2,0.05,1.00E-10
0.0004828,1.6,0.05,1.00E-10
0.0004844,1.4,0.05,1.00E-10
0.000486,1.4,0.05,1.00E-10
0.0004876,1.4,0.05,1.00E-10
0.0004892,1.6,0.05,1.00E-10
0.0004908,1.4,0.05,1.00E-10
0.0004924,1.4,0.05,1.00E-10
0.000494,1.6,0.05,1.00E-10
0.0004956,1.4,0.05,1.00E-10
0.0004972,2,0.05,1.00E-10
0.0004988,1.9,0.05,1.00E-10
0.0005004,2,0.05,1.00E-10
0.000502,2.1,0.05,1.00E-10
0.0005036,1.8,0.05,1.00E-10
0.0005052,1.9,0.05,1.00E-10
0.0005068,2,0.05,1.00E-10
0.0005084,1.9,0.05,1.00E-10
0.00051,1.7,0.05,1.00E-10
0.0005116,2,0.05,1.00E-10
0.0005132,1.8,0.05,1.00E-10
0.0005148,1.9,0.05,1.00E-10
0.0005164,2.3,0.05,1.00E-10
0.000518,2.3,0.05,1.00E-10
0.0005196,2.5,0.05,1.00E-10
0.0005212,2.8,0.05,1.00E-10
0.0005228,2.6,0.05,1.00E-10
0.0005244,2.5,0.05,1.00E-10
0.000526,2.2,0.05,1.00E-10
0.0005276,2.1,0.05,1.00E-10
0.0005292,2.2,0.05,1.00E-10
0.0005308,2.1,0.05,1.00E-10
0.0005324,2.1,0.05,1.00E-10
0.000534,2,0.05,1.00E-10
0.0005356,2.2,0.05,1.00E-10
0.0005372,1.7,0.05,1.00E-10
0.0005388,2.1,0.05,1.00E-10
0.0005404,1.8,0.05,1.00E-10
0.000542,2.2,0.05,1.00E-10
0.0005436,1.8,0.05,1.00E-10
0.0005452,1.8,0.05,1.00E-10
0.0005468,2,0.05,1.00E-10
0.0005484,1.9,0.05,1.00E-10
0.00055,1.9,0.05,1.00E-10
0.0005516,2.1,0.05,1.00E-10
0.0005532,1.9,0.05,1.00E-10
0.0005548,1.8,0.05,1.00E-10
0.0005564,1.8,0.05,1.00E-10
0.000558,1.8,0.05,1.00E-10
0.0005596,1.9,0.05,0.016920014
0.0005612,1.7,0.05,0.016920014
0.0005628,2,0.05,0.016920014
0.0005644,2,0.05,0.016920014
0.000566,2.4,0.05,0.016920014
0.0005676,2.3,0.05,0.016920014
0.0005692,2.5,0.05,0.016920014
0.0005708,2,0.05,0.016920014
0.0005724,2.1,0.05,0.016920014
0.000574,2.3,0.05,0.016920014
0.0005756,2,0.05,0.016920014
0.0005772,2.3,0.05,0.016920014
0.0005788,2.4,0.05,0.016920014
0.0005804,2.7,0.05,0.016920014
0.000582,2.5,0.05,0.016920014
0.0005836,2.4,0.05,0.016920014
0.0005852,2.5,0.05,0.016920014
0.0005868,2.6,0.05,0.016920014
0.0005884,2.9,0.05,0.016920014
0.00059,2.7,0.05,0.016920014
0.0005916,2.5,0.05,0.016920014
0.0005932,2.9,0.05,0.016920014
0.0005948,2.9,0.05,0.016920014
0.0005964,2.9,0.05,0.016920014
0.000598,2.9,0.05,0.016920014
0.0005996,2.3,0.05,0.016920014
0.0006012,2.9,0.05,0.016920014
0.0006028,2.8,0.05,0.016920014
0.0006044,2.9,0.05,0.016920014
0.000606,2.9,0.05,0.016920014
0.0006076,2.9,0.05,0.016920014
0.0006092,3.2,0.05,0.016920014
0.0006108,3.4,0.05,0.016920014
0.0006124,3.1,0.05,0.016920014
0.000614,3,0.05,0.016920014
0.0006156,3,0.05,0.016920014
0.0006172,3.2,0.05,0.016920014
0.0006188,3.1,0.05,0.016920014
0.0006204,2.8,0.05,0.016920014
0.000622,3,0.05,0.016920014
0.0006236,2.7,0.05,0.016920014
0.0006252,3.2,0.05,0.016920014
0.0006268,3.1,0.05,0.016920014
0.0006284,3,0.05,0.016920014
0.00063,3.5,0.05,0.016920014
0.0006316,3.7,0.05,0.016920014
0.0006332,3.7,0.05,0.016920014
0.0006348,3.6,0.05,0.016920014
0.0006364,3.5,0.05,0.016920014
0.000638,3.5,0.05,0.016920014
0.0006396,3.7,0.05,0.016920014
0.0006412,3.6,0.05,0.016920014
0.0006428,3.5,0.05,0.016920014
0.0006444,3.9,0.05,0.016920014
0.000646,3.8,0.05,0.016920014
0.0006476,4,0.05,0.016920014
0.0006492,3.7,0.05,0.016920014
0.0006508,4,0.05,0.016920014
0.0006524,4.2,0.05,0.016920014
0.000654,4,0.05,0.016920014
0.0006556,3.9,0.05,0.016920014
0.0006572,4.2,0.05,0.016920014
0.0006588,3.9,0.05,0.016920014
0.0006604,3.9,0.05,0.016920014
0.000662,4.3,0.05,0.016920014
0.0006636,3.8,0.05,0.016920014
0.0006652,4,0.05,0.016920014
0.0006668,4,0.05,0.016920014
0.0006684,4,0.05,0.016920014
0.00067,4.3,0.05,0.016920014
0.0006716,4.4,0.05,0.016920014
0.0006732,4.2,0.05,0.016920014
0.0006748,4.7,0.05,0.016920014
0.0006764,4.6,0.05,0.016920014
0.000678,4.2,0.05,0.016920014
0.0006796,4.5,0.05,0.016920014
0.0006812,4.8,0.05,0.016920014
0.0006828,4.5,0.05,0.016920014
0.0006844,4.7,0.05,0.016920014
0.000686,4.6,0.05,0.016920014
0.0006876,4.6,0.05,0.016920014
0.0006892,4.7,0.05,0.016920014
0.0006908,4.5,0.05,0.016920014
0.0006924,5,0.05,0.016920014
0.000694,5,0.05,0.016920014
0.0006956,5.3,0.05,0.016920014
0.0006972,5,0.05,0.016920014
0.0006988,5.1,0.05,0.016920014
0.0007004,5.1,0.05,0.016920014
0.000702,5.3,0.05,0.016920014
0.0007036,5.5,0.05,0.016920014
0.0007052,5.4,0.05,0.016920014
0.0007068,5.6,0.05,0.016920014
0.0007084,5.2,0.05,0.016920014
0.00071,5.4,0.05,0.016920014
0.0007116,5.9,0.05,0.016920014
0.0007132,5.6,0.05,0.016920014
0.0007148,5.7,0.05,0.016920014
0.0007164,6.1,0.05,0.016920014
0.000718,6.1,0.05,0.016920014
0.0007196,6.2,0.05,0.016920014
0.0007212,6.5,0.05,0.016920014
0.0007228,6.3,0.05,0.016920014
0.0007244,6.6,0.05,0.016920014
0.000726,6.6,0.05,0.016920014
0.0007276,6.4,0.05,0.016920014
0.0007292,6.1,0.05,0.016920014
0.0007308,6.3,0.05,0.016920014
0.0007324,6,0.05,0.016920014
0.000734,6.2,0.05,0.016920014
0.0007356,6.7,0.05,0.016920014
0.0007372,6.4,0.05,0.016920014
0.0007388,6.5,0.05,0.016920014
0.0007404,6.7,0.05,0.016920014
