Time,HCO_mol/cm^3
3.04933E-06,3.37E-09
3.94619E-06,2.81E-09
3.94619E-06,2.36E-09
5.02242E-06,1.90E-09
6.99552E-06,1.25E-09
8.78924E-06,7.43E-10
1.18386E-05,5.08E-10
1.57848E-05,3.07E-10
2.04484E-05,2.41E-10
2.65471E-05,1.92E-10
3.13901E-05,1.59E-10
3.60538E-05,1.26E-10
4.32287E-05,1.28E-10
