Time,H_mol/cm^3,Relative_Uncertainty,W
1.90373E-05,	2.30433E-13,	0.05,	1.00E-10
4.27279E-05,	5.14044E-13,	0.05,	0.15430335
6.09226E-05,	8.1538E-13,	0.05,	0.15430335
9.81447E-05,	1.11672E-12,	0.05,	0.15430335
0.000114221,	1.3117E-12,	0.05,	0.15430335
0.000140454,	1.73711E-12,	0.05,	0.15430335
0.000164566,	1.98527E-12,	0.05,	0.15430335
0.000191222,	2.39296E-12,	0.05,	0.15430335
0.000210683,	2.64112E-12,	0.05,	0.15430335
0.000240292,	2.88928E-12,	0.05,	0.15430335
0.000274129,	3.13744E-12,	0.05,	0.15430335
0.000296553,	3.4565E-12,	0.05,	0.15430335
0.000320663,	3.66921E-12,	0.05,	0.15430335
0.000343507,	3.91737E-12,	0.05,	0.15430335
0.000363812,	4.13008E-12,	0.05,	0.15430335
0.000384538,	4.30733E-12,	0.05,	0.15430335
