Time,OH_mol/cm^3
6.70143E-05,	1.90231E-11
0.000198414,	1.7391E-11
0.000278488,	1.58714E-11
0.000389244,	1.45769E-11
0.000497371,	1.34513E-11
0.000592721,	1.22131E-11
0.000752303,	1.06372E-11
0.000847458,	9.90553E-12
0.000955432,	9.17387E-12
0.001073598,	8.61106E-12
0.001158388,	8.16081E-12
0.001253346,	7.93568E-12
