Time,O2
0.236773517,0.00487046
0.342146891,0.004742142
0.393278365,0.004547337
0.453532116,0.004581301
0.510712325,0.004451934
0.570941488,0.004420592
0.628109402,0.004258571
0.676302568,0.00425962
0.739482333,0.004065077
0.799711497,0.004033735
0.850904441,0.004002197
0.914157972,0.004003574
0.977325443,0.003776377
1.022506536,0.003777361
