Time,OH_mol/cm^3
6.32136E-05,3.9534E-11
7.24298E-05,3.99978E-11
8.14566E-05,3.98178E-11
9.04835E-05,3.9574E-11
9.95103E-05,3.93336E-11
0.000108537,3.90664E-11
0.000117564,3.88193E-11
0.000126591,3.85487E-11
0.000135618,3.83452E-11
0.000144644,3.80713E-11
0.000153671,3.78175E-11
0.000162698,3.75871E-11
0.000171725,3.733E-11
0.000180752,3.70829E-11
0.000189779,3.68056E-11
0.000198805,3.66222E-11
0.000207832,3.63885E-11
0.000216859,3.61448E-11
0.000225886,3.59245E-11
0.000234913,3.56539E-11
0.000243939,3.54035E-11
0.000252966,3.52E-11
0.000261993,3.49931E-11
0.00027102,3.4746E-11
0.000280047,3.45023E-11
0.000289074,3.42954E-11
0.0002981,3.40752E-11
0.000307127,3.38784E-11
0.000316154,3.36782E-11
0.000325181,3.3411E-11
0.000334208,3.32276E-11
0.000343235,3.30107E-11
0.000352261,3.28274E-11
0.000361288,3.26239E-11
0.000370315,3.24036E-11
0.000379342,3.21833E-11
0.000388369,3.19765E-11
0.000397395,3.17763E-11
0.000406422,3.15795E-11
0.000415449,3.1413E-11
0.000424476,3.12128E-11
0.000433503,3.09925E-11
0.00044253,3.0826E-11
0.000451556,3.06292E-11
0.000460583,3.04324E-11
0.00046961,3.03027E-11
0.000478637,3.00992E-11
0.000487664,2.99292E-11
0.000496691,2.97291E-11
0.000505717,2.95759E-11
0.000514744,2.93959E-11
0.000523771,2.92092E-11
0.000532798,2.90225E-11
0.000541825,2.88592E-11
0.000550851,2.87195E-11
0.000559878,2.85328E-11
0.000568905,2.83796E-11
0.000577932,2.82029E-11
0.000586959,2.80095E-11
0.000595986,2.78597E-11
0.000605012,2.773E-11
0.000614039,2.75265E-11
0.000623066,2.73733E-11
0.000632093,2.73074E-11
0.00064112,2.70972E-11
0.000650147,2.6897E-11
0.000659173,2.67472E-11
0.0006682,2.66041E-11
0.000677227,2.64643E-11
0.000686254,2.63111E-11
0.000695281,2.61714E-11
0.000704307,2.60417E-11
0.000713334,2.58684E-11
0.000722361,2.5789E-11
0.000731388,2.56157E-11
0.000740415,2.54558E-11
0.000749442,2.5363E-11
0.000758468,2.52032E-11
0.000767495,2.50466E-11
0.000776522,2.49236E-11
0.000785549,2.47906E-11
0.000794576,2.4624E-11
0.00079991,2.45911E-11
