time,Absorbance_105,Relative_Uncertainty,W
1.9424849158962262e-13,0.19124964485894774,0.1,0.034020690871988585
1.9426791643878157e-09,0.1912493277438186,0.1,0.034020690871988585
2.1367528323350078e-08,0.1912461566275892,0.1,0.034020690871988585
7.651079561214428e-08,0.19123715474716654,0.1,0.034020690871988585
1.9045532285436886e-07,0.1912185551636095,0.1,0.034020690871988585
4.0093753181676315e-07,0.19118420211403345,0.1,0.034020690871988585
7.747092540295725e-07,0.19112321357539472,0.1,0.034020690871988585
1.4325787360152803e-06,0.19101591587846092,0.1,0.034020690871988585
2.623831332207445e-06,0.19082177730202826,0.1,0.034020690871988585
5.6288293888873065e-06,0.19033292820855885,0.1,0.034020690871988585
8.633827445567168e-06,0.18984533144904853,0.1,0.034020690871988585
1.163882550224703e-05,0.18935898401715365,0.1,0.034020690871988585
1.464382355892689e-05,0.188873882778164,0.1,0.034020690871988585
1.9513848002413235e-05,0.1880903457308974,0.1,0.034020690871988585
2.438387244589958e-05,0.18731006073139034,0.1,0.034020690871988585
2.9253896889385923e-05,0.18653301417411544,0.1,0.034020690871988585
3.412392133287227e-05,0.18575919221283946,0.1,0.034020690871988585
4.184229678111403e-05,0.18453935383728534,0.1,0.034020690871988585
4.956067222935579e-05,0.18332752772154717,0.1,0.034020690871988585
6.439337116822938e-05,0.18102101599228576,0.1,0.034020690871988585
7.922607010710296e-05,0.17874353012867386,0.1,0.034020690871988585
9.405876904597655e-05,0.1764947040753715,0.1,0.034020690871988585
0.00010889146798485013,0.1742741769288975,0.1,0.034020690871988585
0.00012372416692372373,0.17208159269760046,0.1,0.034020690871988585
0.00014727263551270978,0.16865716854639792,0.1,0.034020690871988585
0.00017082110410169583,0.1653009046806159,0.1,0.034020690871988585
0.0001943695726906819,0.1620114440311556,0.1,0.034020690871988585
0.00021791804127966794,0.1587874563738279,0.1,0.034020690871988585
0.000241466509868654,0.1556276379360887,0.1,0.034020690871988585
0.00026501497845764005,0.15253071097108564,0.1,0.034020690871988585
0.0003126039605667885,0.14645902234480057,0.1,0.034020690871988585
0.00036019294267593694,0.14062906660367075,0.1,0.034020690871988585
0.0004077819247850854,0.1350312177075427,0.1,0.034020690871988585
0.00045537090689423384,0.12965623368135523,0.1,0.034020690871988585
0.0005029598890033823,0.12449523881233644,0.1,0.034020690871988585
0.0005505488711125307,0.11953970981188686,0.1,0.034020690871988585
0.0005981378532216792,0.11478146364077263,0.1,0.034020690871988585
0.0006457268353308276,0.11021264434032192,0.1,0.034020690871988585
0.0006933158174399761,0.10582570915142762,0.1,0.034020690871988585
0.0007409047995491245,0.10161341543152415,0.1,0.034020690871988585
0.000788493781658273,0.09756880884142105,0.1,0.034020690871988585
0.0008360827637674214,0.09368521220358934,0.1,0.034020690871988585
0.0008836717458765699,0.08995621451502565,0.1,0.034020690871988585
0.0009698718185297592,0.08357559565152468,0.1,0.034020690871988585
0.0010560718911829486,0.07764760203977059,0.1,0.034020690871988585
0.001142271963836138,0.07214011904115851,0.1,0.034020690871988585
0.0012284720364893272,0.06702331038885635,0.1,0.034020690871988585
0.0013146721091425164,0.06226945834531415,0.1,0.034020690871988585
0.0014008721817957057,0.05785281346430577,0.1,0.034020690871988585
0.001487072254448895,0.05374945367473639,0.1,0.034020690871988585
0.0015732723271020843,0.04993715388251802,0.1,0.034020690871988585
0.0016594723997552735,0.04639526579859306,0.1,0.034020690871988585
0.0017456724724084628,0.043104606460260604,0.1,0.034020690871988585
0.001831872545061652,0.040047354246452345,0.1,0.034020690871988585
