Time,OH_mol/cm^3
0.000209731,3.15254E-11
0.000240678,3.2723E-11
0.000288135,3.38448E-11
0.000340026,3.36172E-11
0.000410707,3.29388E-11
0.000448305,3.21122E-11
0.000492873,3.07606E-11
0.000546853,2.92586E-11
0.000593718,2.7607E-11
0.000645321,2.60302E-11
